latest_date,stock_id,name,market,observed_days,close,pe_ratio,dividend_yield,pb_ratio,period_return_pct,rsi14,volatility_pct,close_vs_high_pct,close_vs_low_pct,avg_turnover_100m,momentum_score,valuation_score,multifactor_score,20d_avg_price,close_vs_avg_pct,20d_volume_lot,latest_volume_lot,volume_avg_lot,volume_5d_avg_lot,volume_ratio_1d,volume_ratio_5d,volume_score,volume_signal,20d_foreign_net_lot,20d_trust_net_lot,20d_inst_net_lot,foreign_net_volume_pct,trust_net_volume_pct,foreign_buy_streak,foreign_sell_streak,trust_buy_streak,trust_sell_streak,latest_foreign_net_lot,latest_trust_net_lot,top_buy_branch_name,top_buy_branch_net_lot,top_buy_branch_avg_price,top_sell_branch_name,top_sell_branch_net_lot,top_sell_branch_avg_price,branch_score,chip_score,margin_balance_change_lot,short_balance_change_lot,margin_score,base_score,branch_status,confluence_score,complete_chip_score,confluence_inst_score,confluence_branch_score,confluence_price_score,confluence_streak_score,confluence_direction_score,revenue_momentum_score,selection_score,revenue_month,revenue_mom_pct,revenue_yoy_pct,revenue_cumulative_yoy_pct,inst_net_volume_pct,top_buy_branch_volume_pct,close_vs_top_buy_avg_pct,selection_reason,base_reason,total_score
2026-06-10,6186,新潤,TPEX,20,42.0,5.21,11.92,1.48,6.19,62.34,26.14,-2.33,9.8,0.447,7.71,8.0,32.2,40.0919,4.76,22284.0,3494.0,1114.2,1638.8,3.14,1.47,28.53,強放量,624.3,0.0,624.3,2.8,0.0,0,2,0,0,-106.0,0.0,,,,,,,0.0,3.84,439,-30,-1.62,2.22,未取得,0.0,2.22,0.0,0.0,0.0,0.0,0.0,0.0,2.22,,,,,,,,資料不足或法人與分點未同向,外資買超；融資增加；強放量,2.22
2026-06-10,6026,福邦證,TPEX,20,16.7,9.82,8.17,1.16,7.4,58.71,57.91,-14.58,12.08,1.012,8.44,8.0,19.73,17.3436,-3.71,116696.0,7432.0,5834.8,7424.4,1.27,1.27,10.64,正常,179.93,0.0,179.93,0.15,0.0,0,3,0,0,-2795.0,0.0,,,,,,,0.0,-2.57,-628,8,0.54,-2.03,未取得,0.0,-2.03,0.0,0.0,0.0,0.0,0.0,0.0,-2.03,,,,,,,,資料不足或法人與分點未同向,外資買超；融資下降,-2.03
2026-06-10,2603,長榮,TWSE,20,223.0,9.75,7.17,0.83,5.44,59.65,48.34,-8.04,14.07,60.129,7.26,8.0,18.2,218.9743,1.84,549192.35,21589.81,27459.62,23504.03,0.79,0.86,-4.87,正常,-39357.06,71012.45,31655.39,-7.17,12.93,0,3,0,4,-4625.35,-665.99,,,,,,,0.0,5.28,-519,-57,0.09,5.37,未取得,0.0,5.37,0.0,0.0,0.0,0.0,0.0,0.0,5.37,,,,,,,,資料不足或法人與分點未同向,投信買超；融資下降,5.37
2026-06-10,2636,台驊控股,TWSE,20,70.3,10.29,7.11,1.02,3.84,81.58,22.38,-0.99,9.5,0.362,3.3,8.0,26.86,67.9712,3.43,10653.49,477.34,532.67,536.38,0.9,1.01,-1.14,正常,209.71,0.0,209.71,1.97,0.0,6,0,0,0,259.1,0.0,,,,,,,0.0,15.51,-65,1,0.62,16.13,未取得,0.0,16.13,0.0,0.0,0.0,0.0,0.0,0.0,16.13,,,,,,,,資料不足或法人與分點未同向,外資買超；融資下降；接近區間高點；RSI過熱,16.13
2026-06-10,5522,遠雄,TWSE,20,82.2,8.69,6.69,1.35,16.6,77.31,38.2,-1.32,19.65,0.981,10.0,8.0,45.38,74.408,10.47,26371.9,5246.94,1318.6,2089.35,3.98,1.58,30.0,強放量,1418.12,16.0,1434.12,5.38,0.06,1,0,0,0,689.89,0.0,,,,,,,0.0,13.26,291,1,-0.88,12.38,未取得,0.0,12.38,0.0,0.0,0.0,0.0,0.0,0.0,12.38,,,,,,,,資料不足或法人與分點未同向,外資買超；投信買超；融資增加；強放量；接近區間高點；RSI過熱,12.38
2026-06-10,2006,東和鋼鐵,TWSE,20,66.6,10.05,6.46,1.5,0.76,55.05,21.84,-1.91,4.88,1.531,9.46,8.0,24.15,66.2656,0.5,46205.53,2596.1,2310.28,2444.82,1.12,1.06,2.42,正常,2589.51,-2019.16,570.35,5.6,-4.37,3,0,0,3,1216.11,-12.38,,,,,,,0.0,5.77,164,-9,-0.29,5.48,未取得,0.0,5.48,0.0,0.0,0.0,0.0,0.0,0.0,5.48,,,,,,,,資料不足或法人與分點未同向,外資買超；融資增加；接近區間高點,5.48
2026-06-10,2851,中再保,TWSE,20,36.6,7.07,6.01,1.24,10.57,57.78,36.88,-1.74,12.96,0.927,15.34,8.0,44.97,35.1382,4.16,52766.39,1271.19,2638.32,1942.23,0.48,0.74,-10.44,量縮,12200.12,-641.0,11559.12,23.12,-1.21,0,1,0,0,-156.36,0.0,,,,,,,0.0,26.96,73,0,-0.11,26.85,未取得,0.0,26.85,0.0,0.0,0.0,0.0,0.0,0.0,26.85,,,,,,,,資料不足或法人與分點未同向,外資買超；融資增加；接近區間高點,26.85
2026-06-10,1608,華榮,TWSE,20,33.65,6.11,5.94,1.47,2.12,52.81,60.26,-14.59,8.37,2.668,1.27,8.0,4.06,35.8764,-6.21,148716.93,4362.61,7435.85,9694.57,0.59,1.3,-0.1,放量,2880.95,-326.82,2554.13,1.94,-0.22,0,3,0,3,-728.99,-9.59,,,,,,,0.0,-5.8,-950,10,0.64,-5.16,未取得,0.0,-5.16,0.0,0.0,0.0,0.0,0.0,0.0,-5.16,,,,,,,,資料不足或法人與分點未同向,外資買超；融資下降；放量,-5.16
2026-06-10,3622,洋華,TWSE,20,55.6,9.52,5.76,1.15,0.54,52.36,40.93,-9.74,6.51,0.374,0.32,8.0,24.57,57.3755,-3.09,13030.73,502.67,651.54,779.01,0.77,1.2,0.39,正常,740.13,0.0,740.13,5.68,0.0,0,1,0,0,-101.0,0.0,,,,,,,0.0,16.9,137,0,-0.84,16.06,未取得,0.0,16.06,0.0,0.0,0.0,0.0,0.0,0.0,16.06,,,,,,,,資料不足或法人與分點未同向,外資買超；融資增加,16.06
2026-06-10,6024,群益期,TWSE,20,60.6,10.15,5.73,1.39,7.26,75.0,17.0,-1.94,9.19,0.322,5.36,8.0,20.38,58.5426,3.51,11000.44,519.9,550.02,810.5,0.95,1.47,6.92,放量,446.6,-195.0,251.6,4.06,-1.77,0,1,0,0,-86.26,0.0,,,,,,,0.0,3.52,-4,0,0.04,3.56,未取得,0.0,3.56,0.0,0.0,0.0,0.0,0.0,0.0,3.56,,,,,,,,資料不足或法人與分點未同向,外資買超；融資下降；放量；接近區間高點；RSI過熱,3.56
2026-06-10,2820,華票,TWSE,20,17.6,11.58,5.11,0.85,5.07,69.44,15.43,-0.28,6.02,0.365,12.04,8.0,63.43,17.0341,3.32,42908.93,5339.86,2145.45,3513.14,2.49,1.64,30.0,強放量,6260.6,-1036.0,5224.6,14.59,-2.41,2,0,0,0,2750.84,0.0,,,,,,,0.0,27.7,-295,0,0.69,28.39,未取得,0.0,28.39,0.0,0.0,0.0,0.0,0.0,0.0,28.39,,,,,,,,資料不足或法人與分點未同向,外資買超；融資下降；強放量；接近區間高點,28.39
2026-06-10,3708,上緯投控,TWSE,20,119.0,2.91,5.04,0.63,2.15,40.26,49.39,-15.3,8.18,1.919,-1.71,8.0,42.69,125.4511,-5.14,30591.98,671.01,1529.6,821.8,0.44,0.54,-12.0,量縮,2020.28,171.0,2191.28,6.6,0.56,6,0,3,0,97.43,14.0,,,,,,,0.0,40.84,-540,-209,1.56,42.4,未取得,0.0,42.4,0.0,0.0,0.0,0.0,0.0,0.0,42.4,,,,,,,,資料不足或法人與分點未同向,外資買超；投信買超；融資下降,42.4
2026-06-10,5871,中租-KY,TWSE,20,119.5,11.19,5.02,1.17,10.65,65.31,33.09,-1.24,12.74,16.305,15.39,8.0,38.15,113.5042,5.28,287298.95,18917.83,14364.95,20462.41,1.32,1.42,13.59,放量,-49430.6,67011.12,17580.52,-17.21,23.32,0,16,3,0,-3956.59,8415.17,,,,,,,0.0,7.4,-1575,33,0.56,7.96,未取得,0.0,7.96,0.0,0.0,0.0,0.0,0.0,0.0,7.96,,,,,,,,資料不足或法人與分點未同向,投信買超；融資下降；放量；接近區間高點,7.96
2026-06-10,4303,信立,TPEX,20,46.15,14.84,10.83,1.3,-5.43,38.29,38.55,-8.79,6.09,0.393,-3.26,6.5,19.69,47.9432,-3.74,16389.0,724.0,819.45,589.2,0.88,0.72,-5.89,正常,409.81,0.0,409.81,2.5,0.0,3,0,0,0,85.9,0.0,,,,,,,0.0,16.0,-556,-4,3.39,19.39,未取得,0.0,19.39,0.0,0.0,0.0,0.0,0.0,0.0,19.39,,,,,,,,資料不足或法人與分點未同向,外資買超；融資下降,19.39
2026-06-10,2387,精元,TWSE,20,40.2,14.11,9.95,0.76,4.28,55.45,30.29,-8.43,6.07,0.366,6.57,6.5,48.97,41.1587,-2.33,17791.31,815.35,889.57,735.27,0.92,0.83,-3.78,正常,3324.28,0.0,3324.28,18.68,0.0,0,1,0,0,-70.0,0.0,,,,,,,0.0,36.0,-319,6,1.79,37.79,未取得,0.0,37.79,0.0,0.0,0.0,0.0,0.0,0.0,37.79,,,,,,,,資料不足或法人與分點未同向,外資買超；融資下降,37.79
