latest_date,stock_id,name,market,observed_days,close,pe_ratio,dividend_yield,pb_ratio,1d_avg_price,close_vs_avg_pct,1d_volume_lot,latest_volume_lot,volume_avg_lot,volume_5d_avg_lot,volume_ratio_1d,volume_ratio_5d,volume_score,volume_signal,1d_foreign_net_lot,1d_trust_net_lot,1d_inst_net_lot,foreign_net_volume_pct,trust_net_volume_pct,foreign_buy_streak,foreign_sell_streak,trust_buy_streak,trust_sell_streak,latest_foreign_net_lot,latest_trust_net_lot,top_buy_branch_name,top_buy_branch_net_lot,top_buy_branch_avg_price,top_sell_branch_name,top_sell_branch_net_lot,top_sell_branch_avg_price,branch_score,chip_score,margin_balance_change_lot,short_balance_change_lot,margin_score,base_score,branch_status,confluence_score,complete_chip_score,confluence_inst_score,confluence_branch_score,confluence_price_score,confluence_streak_score,confluence_direction_score,revenue_momentum_score,selection_score,revenue_month,revenue_mom_pct,revenue_yoy_pct,revenue_cumulative_yoy_pct,inst_net_volume_pct,top_buy_branch_volume_pct,close_vs_top_buy_avg_pct,selection_reason,base_reason,total_score
2026-05-18,5347,世界,TPEX,1,159.0,38.31,2.83,4.34,159.1195,-0.08,16457.0,16457.0,16457.0,16457.0,1.0,1.0,0.0,正常,150630.79,1179.0,151809.79,915.3,7.16,1,0,1,0,150630.79,1179.0,,,,,,,0.0,60.41,550,2928,-2.67,58.2,未取得,0.0,58.2,0.0,0.0,0.0,0.0,0.0,0.46,58.2,2026-04,-18.5,9.58,5.98,,,,營收 2026-04，月增 -18.5%，年增 9.58%，累計年增 5.98%,外資買超；投信買超；融資增加；營收 2026-04，月增 -18.5%，年增 9.58%，累計年增 5.98%,58.2
2026-05-18,2313,華通,TWSE,1,259.0,45.68,1.08,6.59,251.0199,3.18,97275.86,97275.86,97275.86,97275.86,1.0,1.0,0.0,正常,13246.97,2297.0,15543.97,13.62,2.36,1,0,1,0,13246.97,2297.0,,,,,,,0.0,42.4,-605,385,0.86,43.47,未取得,0.0,43.47,0.0,0.0,0.0,0.0,0.0,0.21,43.47,2026-04,-9.04,-2.86,11.33,,,,營收 2026-04，月增 -9.04%，年增 -2.86%，累計年增 11.33%,外資買超；投信買超；融資下降；營收 2026-04，月增 -9.04%，年增 -2.86%，累計年增 11.33%,43.47
2026-05-18,2355,敬鵬,TWSE,1,57.7,34.14,1.73,1.29,56.8728,1.45,32456.21,32456.21,32456.21,32456.21,1.0,1.0,0.0,正常,10321.1,-6.0,10315.1,31.8,-0.02,1,0,0,1,10321.1,-6.0,,,,,,,0.0,37.45,962,145,-2.1,35.08,未取得,0.0,35.08,0.0,0.0,0.0,0.0,0.0,-0.27,35.08,2026-04,-1.34,-3.09,2.81,,,,營收 2026-04，月增 -1.34%，年增 -3.09%，累計年增 2.81%,外資買超；融資增加；營收 2026-04，月增 -1.34%，年增 -3.09%，累計年增 2.81%,35.08
2026-05-18,8096,擎亞,TPEX,1,105.0,61.4,0.48,5.41,102.3606,2.58,34521.0,34521.0,34521.0,34521.0,1.0,1.0,0.0,正常,9328.24,0.0,9328.24,27.02,0.0,1,0,0,0,9328.24,0.0,,,,,,,0.0,40.0,2744,166,-6.07,33.91,未取得,0.0,33.91,0.0,0.0,0.0,0.0,0.0,-0.02,33.91,2026-04,-5.82,21.36,-19.8,,,,營收 2026-04，月增 -5.82%，年增 21.36%，累計年增 -19.8%,外資買超；融資增加；營收 2026-04，月增 -5.82%，年增 21.36%，累計年增 -19.8%,33.91
2026-05-18,2485,兆赫,TWSE,1,73.0,1825.0,0.0,4.39,71.7451,1.75,67032.9,67032.9,67032.9,67032.9,1.0,1.0,0.0,正常,8088.12,0.0,8088.12,12.07,0.0,1,0,0,0,8088.12,0.0,,,,,,,0.0,37.65,717,97,-0.77,52.44,未取得,0.0,52.44,0.0,0.0,0.0,0.0,0.0,15.56,52.44,2026-04,-7.71,38.27,105.41,,,,營收 2026-04，月增 -7.71%，年增 38.27%，累計年增 105.41%,外資買超；融資增加；營收 2026-04，月增 -7.71%，年增 38.27%，累計年增 105.41%,52.44
2026-05-18,2615,萬海,TWSE,1,76.9,7.1,3.9,0.75,77.0159,-0.15,16577.35,16577.35,16577.35,16577.35,1.0,1.0,0.0,正常,7066.82,0.0,7066.82,42.63,0.0,1,0,0,0,7066.82,0.0,,,,,,,0.0,40.0,-543,17,3.28,47.73,未取得,0.0,47.73,0.0,0.0,0.0,0.0,0.0,4.45,47.73,2026-04,22.89,13.05,-4.03,,,,營收 2026-04，月增 22.89%，年增 13.05%，累計年增 -4.03%,外資買超；融資下降；營收 2026-04，月增 22.89%，年增 13.05%，累計年增 -4.03%,47.73
2026-05-18,2027,大成鋼,TWSE,1,39.4,11.52,3.81,1.17,40.0107,-1.53,37468.75,37468.75,37468.75,37468.75,1.0,1.0,0.0,正常,6697.32,-697.0,6000.32,17.87,-1.86,1,0,0,1,6697.32,-697.0,,,,,,,0.0,32.85,1554,28,-3.32,41.28,未取得,0.0,41.28,0.0,0.0,0.0,0.0,0.0,11.75,41.28,2026-04,9.04,37.67,24.26,,,,營收 2026-04，月增 9.04%，年增 37.67%，累計年增 24.26%,外資買超；融資增加；營收 2026-04，月增 9.04%，年增 37.67%，累計年增 24.26%,41.28
2026-05-18,2409,友達,TWSE,1,19.25,60.16,2.08,0.97,18.807,2.36,207880.66,207880.66,207880.66,207880.66,1.0,1.0,0.0,正常,6297.95,7.0,6304.95,3.03,0.0,1,0,1,0,6297.95,7.0,,,,,,,0.0,18.99,-2498,-120,1.18,16.87,未取得,0.0,16.87,0.0,0.0,0.0,0.0,0.0,-3.3,16.87,2026-04,-15.07,-4.48,-4.31,,,,營收 2026-04，月增 -15.07%，年增 -4.48%，累計年增 -4.31%,外資買超；投信買超；融資下降；營收 2026-04，月增 -15.07%，年增 -4.48%，累計年增 -4.31%,16.87
2026-05-18,2891,中信金,TWSE,1,54.8,13.7,4.56,2.13,54.9716,-0.31,30347.4,30347.4,30347.4,30347.4,1.0,1.0,0.0,正常,6136.73,-3561.24,2575.5,20.22,-11.73,1,0,0,1,6136.73,-3561.24,,,,,,,0.0,7.29,-21,4,0.07,24.74,未取得,0.0,24.74,0.0,0.0,0.0,0.0,0.0,17.38,24.74,2026-04,50.38,93.98,11.1,,,,營收 2026-04，月增 50.38%，年增 93.98%，累計年增 11.1%,外資買超；融資下降；營收 2026-04，月增 50.38%，年增 93.98%，累計年增 11.1%,24.74
2026-05-18,3045,台灣大,TWSE,1,114.0,23.12,4.21,3.79,114.648,-0.57,12851.77,12851.77,12851.77,12851.77,1.0,1.0,0.0,正常,5850.67,-180.0,5670.67,45.52,-1.4,1,0,0,1,5850.67,-180.0,,,,,,,0.0,34.0,280,0,-1.74,32.05,未取得,0.0,32.05,0.0,0.0,0.0,0.0,0.0,-0.21,32.05,2026-04,-8.42,1.79,2.97,,,,營收 2026-04，月增 -8.42%，年增 1.79%，累計年增 2.97%,外資買超；融資增加；營收 2026-04，月增 -8.42%，年增 1.79%，累計年增 2.97%,32.05
2026-05-18,2542,興富發,TWSE,1,44.6,13.72,8.97,1.71,44.3601,0.54,19426.03,19426.03,19426.03,19426.03,1.0,1.0,0.0,正常,5337.35,29.5,5366.85,27.48,0.15,1,0,1,0,5337.35,29.5,,,,,,,0.0,42.88,-40,-1,0.2,63.44,未取得,0.0,63.44,0.0,0.0,0.0,0.0,0.0,20.36,63.44,2026-04,-0.36,4077.66,1725.22,,,,營收 2026-04，月增 -0.36%，年增 4077.66%，累計年增 1725.22%,外資買超；投信買超；融資下降；營收 2026-04，月增 -0.36%，年增 4077.66%，累計年增 1725.22%,63.44
2026-05-18,8028,昇陽半導體,TWSE,1,278.5,61.62,1.01,9.2,275.9332,0.93,23298.03,23298.03,23298.03,23298.03,1.0,1.0,0.0,正常,5167.41,-40.0,5127.41,22.18,-0.17,1,0,0,1,5167.41,-40.0,,,,,,,0.0,37.07,-377,-162,1.41,47.53,未取得,0.0,47.53,0.0,0.0,0.0,0.0,0.0,9.05,47.53,2026-04,-2.05,31.15,23.06,,,,營收 2026-04，月增 -2.05%，年增 31.15%，累計年增 23.06%,外資買超；融資下降；營收 2026-04，月增 -2.05%，年增 31.15%，累計年增 23.06%,47.53
2026-05-18,6127,九豪,TPEX,1,49.2,,0.0,4.57,48.9375,0.54,16082.0,16082.0,16082.0,16082.0,1.0,1.0,0.0,正常,4827.0,0.0,4827.0,30.01,0.0,1,0,0,0,4827.0,0.0,,,,,,,0.0,40.0,798,21,-3.89,32.97,未取得,0.0,32.97,0.0,0.0,0.0,0.0,0.0,-3.14,32.97,2026-04,-4.66,-9.6,-5.35,,,,營收 2026-04，月增 -4.66%，年增 -9.6%，累計年增 -5.35%,外資買超；融資增加；營收 2026-04，月增 -4.66%，年增 -9.6%，累計年增 -5.35%,32.97
