latest_date,stock_id,name,market,industry,sub_industry,observed_days,close,pe_ratio,dividend_yield,pb_ratio,period_return_pct,rsi14,volatility_pct,close_vs_high_pct,close_vs_low_pct,avg_turnover_100m,momentum_score,history_days,return_6m_pct,return_12m_pct,rs_6m_pct,rs_12m_pct,close_vs_52w_high_pct,close_vs_52w_low_pct,close_vs_ma60_pct,close_vs_ma240_pct,long_momentum_score,valuation_score,disp_date,big_holder_pct,big_holder_change_1w,big_holder_change_4w,holder_400_pct,retail_pct,retail_change_1w,dispersion_score,fin_quarter,gross_margin_pct,operating_margin_pct,net_margin_pct,gross_margin_streak,eps_ttm,pe_ttm,pe_percentile,pe_median_1y,pe_vs_median_pct,eps_single_q,eps_yoy_pct,operating_margin_yoy_pt,mispriced_score,mispriced_earnings_score,mispriced_cheap_score,mispriced_trap_penalty,mispriced_cyclical_peak,eps_ttm_at_high,mispriced_reason,fundamental_score,multifactor_score,20d_avg_price,close_vs_avg_pct,20d_volume_lot,latest_volume_lot,volume_avg_lot,volume_5d_avg_lot,volume_ratio_1d,volume_ratio_5d,volume_score,volume_signal,20d_foreign_net_lot,20d_trust_net_lot,20d_inst_net_lot,foreign_net_volume_pct,trust_net_volume_pct,foreign_buy_streak,foreign_sell_streak,trust_buy_streak,trust_sell_streak,latest_foreign_net_lot,latest_trust_net_lot,top_buy_branch_name,top_buy_branch_net_lot,top_buy_branch_avg_price,top_buy_branch_est_cost,branch_buy_streak,branch_streak_broker,top_buy_is_day_trader,top_sell_branch_name,top_sell_branch_net_lot,top_sell_branch_avg_price,branch_score,chip_score,margin_balance_change_lot,short_balance_change_lot,margin_score,base_score,branch_status,confluence_score,complete_chip_score,confluence_inst_score,confluence_branch_score,confluence_price_score,confluence_streak_score,confluence_direction_score,revenue_momentum_score,selection_score,revenue_month,revenue_mom_pct,revenue_yoy_pct,revenue_cumulative_yoy_pct,inst_net_volume_pct,top_buy_branch_volume_pct,close_vs_top_buy_avg_pct,selection_reason,base_reason,total_score
2026-07-29,2618,長榮航,TWSE,航運業,航空,20,41.45,7.87,4.83,1.65,-5.58,58.16,38.11,-7.89,6.97,21.994,0.65,252,6.83,9.51,-18.44,-60.56,-9.2,28.93,5.94,11.24,2.47,4.5,2026-07-24,77.07,0.49,1.3,80.2,15.56,-0.38,5.92,2026Q1,26.22,18.64,13.66,2,5.27,7.87,84.1,7.21,9.2,1.53,39.1,3.44,22.0,17.0,5.0,0.0,0,0,單季 EPS 年增 39%、毛利率連 2 季升、月營收年增 27%、PE 7.9（一年 84% 分位）、距 52 週高點 -9%,5.4,68.14,41.5608,-0.27,1058396.19,47478.16,52919.81,47580.97,0.9,0.9,-2.85,正常,356517.44,-19022.35,337495.1,33.68,-1.8,16,0,0,1,12757.84,-2887.72,台灣摩根士丹利,74114.0,,41.24,10,台灣摩根士丹利,0,統一,68811.0,,19.15,41.01,-16873,300,1.59,50.62,已取得,48.9,99.52,22.5,8.4,6.0,6.0,6.0,8.02,50.62,2026-06,5.12,26.58,16.36,31.89,7.0,,外資主導買超；前大買超分點約占成交 7.0%；收盤距區間均價 -0.27%；連買：外16 / 投0；營收 2026-06，月增 5.12%，年增 26.58%，累計年增 16.36%,外資買超；融資下降；主力分點連10買；毛利率連2升；千張大戶增持；營收 2026-06，月增 5.12%，年增 26.58%，累計年增 16.36%,50.62
2026-07-29,2883,凱基金,TWSE,金融保險業,金控,20,29.15,16.38,3.43,1.46,3.0,37.8,31.23,-6.87,5.62,16.75,1.8,252,63.31,91.78,38.03,21.7,-6.87,98.98,8.83,47.61,14.56,5.0,2026-07-24,64.18,0.34,0.4,68.07,23.65,-0.21,4.42,2026Q1,,,49.61,0,1.91,15.26,88.1,13.25,23.6,0.69,32.7,,6.5,4.0,2.5,0.0,0,1,單季 EPS 年增 33%、月營收年減 6%、PE 16.4（一年 88% 分位）、距 52 週高點 -7%,4.5,79.81,29.7384,-1.98,1126486.73,58342.97,56324.34,43706.52,1.04,0.78,-3.15,正常,214139.18,-15240.31,198898.88,19.01,-1.35,0,2,4,0,-4961.41,5449.03,摩根大通,56216.0,,29.89,20,摩根大通,0,台新-台北,59969.0,,17.33,40.62,-1376,268,0.12,51.11,已取得,46.89,98.0,22.5,5.99,6.0,6.4,6.0,10.37,51.11,2026-06,15.71,-6.2,128.36,17.66,4.99,,外資主導買超；前大買超分點約占成交 4.99%；收盤距區間均價 -1.98%；連買：外0 / 投4；營收 2026-06，月增 15.71%，年增 -6.2%，累計年增 128.36%,外資買超；融資下降；主力分點連20買；千張大戶增持；營收 2026-06，月增 15.71%，年增 -6.2%，累計年增 128.36%,51.11
2026-07-29,2884,玉山金,TWSE,金融保險業,金控,20,36.5,16.59,3.84,2.07,10.94,66.67,21.14,-1.88,11.28,17.411,15.56,251,9.77,13.53,-15.5,-56.54,-1.88,24.15,8.34,10.86,9.12,3.0,2026-07-24,68.66,0.43,0.61,73.08,19.96,-0.36,5.44,2026Q1,,,39.96,0,2.19,16.67,49.4,16.65,-0.4,0.62,12.7,,10.0,9.0,1.0,0.0,0,1,單季 EPS 年增 13%、月營收年增 25%、PE 16.6（一年 49% 分位）、距 52 週高點 -2%,4.5,104.65,34.9993,4.29,994915.11,76803.92,49745.76,38748.39,1.54,0.78,5.99,放量,211775.64,11261.85,223037.49,21.29,1.13,4,0,5,0,123.36,997.33,美商高盛,46373.0,,35.11,20,美商高盛,0,華南永昌-中正,53062.0,,16.93,55.33,-265,156,0.04,64.03,已取得,60.89,124.92,22.5,5.59,6.0,12.8,14.0,8.66,64.03,2026-06,1.12,25.3,24.84,22.42,4.66,,外資與投信同買；前大買超分點約占成交 4.66%；收盤距區間均價 4.29%；連買：外4 / 投5；營收 2026-06，月增 1.12%，年增 25.3%，累計年增 24.84%,外資買超；投信買超；融資下降；放量；接近區間高點；逼近52週高點；主力分點連20買；千張大戶增持；營收 2026-06，月增 1.12%，年增 25.3%，累計年增 24.84%,64.03
2026-07-29,2002,中鋼,TWSE,鋼鐵工業,,20,18.95,,0.79,0.98,1.61,56.41,15.79,-2.57,3.84,7.703,4.97,252,-1.04,-2.57,-26.32,-72.64,-12.27,7.67,0.71,-1.07,-6.26,2.0,2026-07-24,48.43,0.58,-0.03,52.2,38.33,-0.39,4.41,2026Q1,3.33,-0.78,-3.1,-1,-0.47,,,,,-0.16,-900.0,-2.43,0.0,0.0,0.0,0.0,,0,近四季 EPS 未轉正或缺財報,-6.2,59.66,18.835,0.61,817914.57,54262.79,40895.73,54759.96,1.33,1.34,12.35,放量,140958.13,-393.9,140564.23,17.23,-0.05,12,0,2,0,9457.24,88.0,摩根大通,31710.0,,18.9,20,摩根大通,0,國泰-敦南,5397.0,,18.32,52.88,-5870,582,0.76,54.56,已取得,48.35,102.91,22.5,4.65,6.0,9.2,6.0,0.92,54.56,2026-06,-6.55,9.61,-0.16,17.19,3.88,,外資主導買超；前大買超分點約占成交 3.88%；收盤距區間均價 0.61%；連買：外12 / 投2；營收 2026-06，月增 -6.55%，年增 9.61%，累計年增 -0.16%,外資買超；融資下降；放量；年線之下；主力分點連20買；千張大戶增持；營收 2026-06，月增 -6.55%，年增 9.61%，累計年增 -0.16%,54.56
2026-07-29,2882,國泰金,TWSE,金融保險業,金控,20,94.1,14.28,3.72,1.88,-0.95,38.32,26.9,-6.83,1.73,29.089,-0.57,252,22.85,54.52,-2.43,-15.56,-19.91,56.83,1.01,24.52,5.99,3.0,2026-07-24,83.13,-0.01,-0.42,85.56,11.22,-0.02,-1.34,2026Q1,,,43.55,0,7.03,13.39,67.5,12.59,13.4,2.15,-1.4,,-10.0,-11.0,5.0,-4.0,0,0,⚠ 便宜但基本面轉弱：月營收年減 1977%、PE 14.3（一年 68% 分位）、距 52 週高點 -20%,4.5,25.3,95.4638,-1.43,609423.05,30053.06,30471.15,19603.52,0.99,0.64,-5.87,正常,128198.43,-67990.15,60208.28,21.04,-11.16,0,2,4,0,-3446.61,3211.22,摩根大通,26366.0,,95.71,18,摩根大通,0,富邦證券,36435.0,,16.2,14.9,-63,733,0.01,16.65,已取得,38.41,55.06,14.82,5.19,6.0,6.4,6.0,1.74,16.65,2026-06,28.92,-1977.09,22.91,9.88,4.33,,外資主導買超；前大買超分點約占成交 4.33%；收盤距區間均價 -1.43%；連買：外0 / 投4；營收 2026-06，月增 28.92%，年增 -1977.09%，累計年增 22.91%,外資買超；融資下降；主力分點連18買；營收 2026-06，月增 28.92%，年增 -1977.09%，累計年增 22.91%,16.65
2026-07-29,5880,合庫金,TWSE,金融保險業,金控,20,26.1,18.64,4.02,1.45,5.03,81.25,9.02,-0.38,6.97,4.943,4.02,252,9.89,2.76,-15.38,-67.32,-1.14,15.74,8.28,8.59,9.14,3.5,2026-07-24,70.15,0.24,0.58,74.12,17.31,-0.14,3.92,2026Q1,,,34.65,0,1.4,18.64,38.5,19.0,-1.9,0.36,12.5,,4.5,-1.0,5.5,0.0,0,1,單季 EPS 年增 12%、月營收年減 13%、PE 18.6（一年 38% 分位）、距 52 週高點 -1%,4.5,93.3,25.3941,2.78,389284.47,46004.73,19464.22,22487.63,2.36,1.16,21.85,強放量,126739.54,2000.64,128740.18,32.56,0.51,5,0,4,0,17505.16,812.92,摩根大通,30780.0,,25.44,10,摩根大通,0,第一金-中山,4801.0,,22.87,59.28,-1022,-21,0.26,57.3,已取得,64.39,121.69,22.5,9.49,6.0,12.4,14.0,-2.24,57.3,2026-06,3.39,-13.04,-1.88,33.07,7.91,,外資與投信同買；前大買超分點約占成交 7.91%；收盤距區間均價 2.78%；連買：外5 / 投4；營收 2026-06，月增 3.39%，年增 -13.04%，累計年增 -1.88%,外資買超；投信買超；融資下降；強放量；接近區間高點；逼近52週高點；RSI過熱；主力分點連10買；營收 2026-06，月增 3.39%，年增 -13.04%，累計年增 -1.88%,57.3
2026-07-29,2303,聯電,TWSE,半導體業,晶圓代工,20,102.5,25.75,2.55,3.17,-39.35,22.12,90.36,-40.75,0.0,207.254,-10.5,252,58.18,146.69,32.91,76.62,-44.74,155.61,-24.11,40.41,9.77,0.0,2026-07-24,72.85,-0.97,-2.17,75.5,20.97,0.86,-5.5,2026Q1,29.19,18.47,26.49,-1,4.01,25.56,78.2,17.09,50.7,1.29,108.1,1.56,18.0,13.0,5.0,0.0,0,1,單季 EPS 年增 108%、毛利率連 1 季降、月營收年增 23%、PE 25.8（一年 78% 分位）、距 52 週高點 -45%,3.3,4.67,140.407,-27.0,2952190.93,271683.85,147609.55,182197.2,1.84,1.23,13.84,放量,121218.67,-177596.57,-56377.9,4.11,-6.02,1,0,0,1,39628.43,-15489.85,台灣摩根士丹利,62975.0,,148.15,20,台灣摩根士丹利,0,元大證券,81197.0,,9.18,-8.86,-104157,6543,3.53,0.68,已取得,0.0,0.68,0.0,0.0,0.0,0.0,0.0,6.01,0.68,2026-06,0.79,22.85,11.28,,,,營收 2026-06，月增 0.79%，年增 22.85%，累計年增 11.28%,外資買超；融資下降；放量；波動偏高；主力分點連20買；千張大戶減持；營收 2026-06，月增 0.79%，年增 22.85%，累計年增 11.28%,0.68
2026-07-29,2867,三商壽,TWSE,金融保險業,,20,9.37,66.93,0.0,0.71,13.58,70.73,21.9,-2.9,13.58,1.647,12.15,251,18.76,74.81,-6.52,4.74,-2.9,88.15,12.58,26.47,11.09,0.0,2026-07-24,82.89,0.49,1.19,86.18,8.93,-0.24,5.92,2026Q1,,,,0,0.14,66.93,54.4,63.64,5.2,-0.03,-200.0,,0.0,0.0,0.0,0.0,,0,最新單季虧損,1.5,83.12,8.9917,4.21,366413.36,40156.99,18320.67,19708.06,2.19,1.08,18.51,強放量,106497.96,0.0,106497.96,29.06,0.0,5,0,0,0,4105.69,0.0,元大證券,71127.0,,9.09,15,元大證券,0,群益金鼎,25014.0,,33.88,42.0,-13,26,0.01,43.21,已取得,63.79,107.0,22.5,23.29,6.0,6.0,6.0,1.2,43.21,2026-06,-50.67,-192.72,161.23,29.06,19.41,,外資主導買超；前大買超分點約占成交 19.41%；收盤距區間均價 4.21%；連買：外5 / 投0；營收 2026-06，月增 -50.67%，年增 -192.72%，累計年增 161.23%,外資買超；融資下降；強放量；主力分點連15買；千張大戶增持；營收 2026-06，月增 -50.67%，年增 -192.72%，累計年增 161.23%,43.21
2026-07-29,2324,仁寶,TWSE,電腦及週邊設備業,AI伺服器/組裝,20,34.85,26.2,3.16,1.16,0.72,46.8,40.58,-8.77,3.41,17.645,0.43,252,4.5,18.14,-20.78,-51.94,-27.02,30.52,-0.73,10.0,1.96,3.5,2026-07-24,60.11,1.05,0.93,63.7,31.24,-0.86,6.0,2026Q1,5.26,1.31,0.98,-1,1.33,26.2,85.7,20.13,30.2,0.45,-10.0,-0.05,3.5,-2.5,6.0,0.0,0,0,毛利率連 1 季降、月營收年增 58%、PE 26.2（一年 86% 分位）、距 52 週高點 -27%,0.3,68.91,35.8663,-2.83,983940.74,82704.42,49197.04,54179.06,1.68,1.1,12.79,放量,92859.67,-43101.58,49758.09,9.44,-4.38,1,0,7,0,5295.45,154.1,摩根大通,30025.0,,36.04,7,摩根大通,0,元大證券,12524.0,,11.03,32.47,-4832,337,0.49,50.32,已取得,32.45,82.77,7.59,3.66,6.0,9.2,6.0,17.36,50.32,2026-06,36.04,58.38,15.82,5.06,3.05,,外資主導買超；前大買超分點約占成交 3.05%；收盤距區間均價 -2.83%；連買：外1 / 投7；營收 2026-06，月增 36.04%，年增 58.38%，累計年增 15.82%,外資買超；融資下降；放量；主力分點連7買；千張大戶增持；營收 2026-06，月增 36.04%，年增 58.38%，累計年增 15.82%,50.32
2026-07-29,2353,宏碁,TWSE,電腦及週邊設備業,,20,28.65,21.7,4.54,1.18,-10.75,25.17,32.34,-15.98,3.43,9.571,-7.5,252,7.71,-10.89,-17.57,-80.96,-35.18,14.6,-11.32,-2.49,-8.34,3.5,2026-07-24,32.4,-0.79,-2.2,36.66,53.93,0.32,-5.5,2026Q1,11.16,1.11,0.97,-1,1.32,21.7,71.7,20.4,6.4,0.23,35.3,-0.58,8.5,2.5,6.0,0.0,0,0,單季 EPS 年增 35%、毛利率連 1 季降、月營收年減 3%、PE 21.7（一年 72% 分位）、距 52 週高點 -35%,0.3,4.11,31.1212,-7.94,615087.44,37339.19,30754.37,22828.45,1.21,0.74,1.45,正常,85373.45,-54036.27,31337.17,13.88,-8.79,1,0,4,0,1675.69,56.91,摩根大通,27920.0,,30.83,10,摩根大通,0,合庫證券,50525.0,,9.34,17.11,-2486,-11019,-0.13,20.93,已取得,26.69,47.62,7.64,5.45,0.0,7.6,6.0,3.95,20.93,2026-06,6.32,-3.02,23.35,5.09,4.54,,外資主導買超；前大買超分點約占成交 4.54%；收盤距區間均價 -7.94%；連買：外1 / 投4；營收 2026-06，月增 6.32%，年增 -3.02%，累計年增 23.35%,外資買超；融資下降；年線之下；主力分點連10買；千張大戶減持；營收 2026-06，月增 6.32%，年增 -3.02%，累計年增 23.35%,20.93
2026-07-29,2105,正新,TWSE,橡膠工業,,20,30.4,18.77,5.92,1.16,1.0,32.35,29.57,-12.14,2.53,4.258,0.6,252,-1.62,-24.19,-26.89,-94.26,-28.89,8.19,-5.14,-7.54,-6.39,5.0,2026-07-24,78.64,0.01,1.47,81.23,14.51,-0.07,2.08,2026Q1,24.84,9.93,7.95,1,1.62,18.77,23.0,19.91,-5.7,0.57,26.7,1.58,25.0,12.0,13.0,0.0,0,0,單季 EPS 年增 27%、毛利率連 1 季升、月營收年增 15%、PE 18.8（一年 23% 分位）、距 52 週高點 -29%,2.7,27.93,32.2698,-5.79,263912.25,10884.84,13195.61,8280.04,0.82,0.63,-8.06,正常,84929.22,-15343.2,69586.02,32.18,-5.81,0,4,4,0,-1115.42,39.0,台灣摩根士丹利,23355.0,,32.44,20,台灣摩根士丹利,0,華南永昌-中正,8806.0,,16.95,22.47,-2269,7,0.86,27.97,已取得,45.52,73.49,22.5,10.62,0.0,6.4,6.0,4.64,27.97,2026-06,9.6,15.01,4.92,26.37,8.85,,外資主導買超；前大買超分點約占成交 8.85%；收盤距區間均價 -5.79%；連買：外0 / 投4；營收 2026-06，月增 9.6%，年增 15.01%，累計年增 4.92%,外資買超；融資下降；年線之下；主力分點連20買；營收 2026-06，月增 9.6%，年增 15.01%，累計年增 4.92%,27.97
2026-07-29,2603,長榮,TWSE,航運業,貨櫃航運,20,201.5,8.81,7.94,0.75,8.63,57.97,34.99,-3.36,9.81,23.103,9.18,252,6.33,1.77,-18.94,-68.3,-16.91,15.14,-2.17,3.31,2.36,8.0,2026-07-24,66.55,0.61,1.34,71.42,23.88,-0.82,6.0,2026Q1,15.48,10.34,9.6,-2,22.88,8.81,89.7,4.52,94.9,3.84,-69.6,-16.34,2.5,-7.0,9.5,0.0,0,0,毛利率連 2 季降、月營收年增 30%、PE 8.8（一年 90% 分位）、距 52 週高點 -17%,-0.9,78.82,196.856,2.36,234721.33,13258.72,11736.07,8015.04,1.13,0.68,-3.52,正常,70704.34,-8843.91,61860.42,30.12,-3.77,15,0,4,0,3688.87,147.2,台灣摩根士丹利,20666.0,,198.4,20,台灣摩根士丹利,0,富邦證券,8305.0,,22.8,48.58,-1689,333,0.8,55.94,已取得,57.47,113.41,22.5,10.57,6.0,12.4,6.0,6.56,55.94,2026-06,12.94,29.99,-2.43,26.35,8.8,,外資主導買超；前大買超分點約占成交 8.8%；收盤距區間均價 2.36%；連買：外15 / 投4；營收 2026-06，月增 12.94%，年增 29.99%，累計年增 -2.43%,外資買超；融資下降；主力分點連20買；毛利率連2降；千張大戶增持；營收 2026-06，月增 12.94%，年增 29.99%，累計年增 -2.43%,55.94
2026-07-29,5876,上海商銀,TWSE,金融保險業,,20,44.35,14.08,4.06,1.03,4.6,59.09,32.77,-5.84,6.74,6.704,6.76,252,12.14,3.14,-13.14,-66.93,-5.84,17.95,5.91,8.63,3.64,5.0,2026-07-24,82.27,0.5,1.15,87.8,5.4,-0.27,6.0,2026Q1,,,,0,3.15,14.08,86.1,12.88,9.3,1.05,9.4,,4.5,0.0,4.5,0.0,0,0,單季 EPS 年增 9%、月營收年減 4%、PE 14.1（一年 86% 分位）、距 52 週高點 -6%,1.5,88.5,44.5612,-0.47,300877.56,17309.47,15043.88,19370.01,1.15,1.29,6.41,正常,70082.26,5078.0,75160.26,23.29,1.69,4,0,4,0,10265.81,71.0,台灣摩根士丹利,19853.0,,44.22,20,台灣摩根士丹利,0,群益金鼎,14827.0,,19.45,60.22,-712,0,0.24,62.4,已取得,61.62,124.02,22.5,7.92,6.0,11.2,14.0,1.94,62.4,2026-06,24.85,-4.39,-1.56,24.98,6.6,,外資與投信同買；前大買超分點約占成交 6.6%；收盤距區間均價 -0.47%；連買：外4 / 投4；營收 2026-06，月增 24.85%，年增 -4.39%，累計年增 -1.56%,外資買超；投信買超；融資下降；主力分點連20買；千張大戶增持；營收 2026-06，月增 24.85%，年增 -4.39%，累計年增 -1.56%,62.4
2026-07-29,4938,和碩,TWSE,電腦及週邊設備業,EMS組裝,20,82.0,18.85,4.89,1.08,-0.73,45.67,33.25,-9.29,2.5,9.792,-0.44,252,16.81,2.5,-8.46,-67.57,-20.0,21.48,-3.06,7.86,4.67,3.5,2026-07-24,73.82,0.76,0.51,78.16,17.65,-0.56,6.0,2026Q1,4.42,1.16,0.64,1,4.35,18.85,83.7,14.9,26.5,0.58,-64.2,0.25,4.5,0.0,4.5,0.0,0,0,毛利率連 1 季升、月營收年增 16%、PE 18.9（一年 84% 分位）、距 52 週高點 -20%,2.7,38.21,84.3439,-2.78,232195.16,10809.85,11609.76,16114.18,0.93,1.39,5.38,放量,63454.49,-29611.22,33843.26,27.33,-12.75,0,2,3,0,-1620.47,148.0,美商高盛,14208.0,,85.0,20,美商高盛,0,港商野村,16833.0,,11.72,16.16,-2961,38,1.28,19.09,已取得,46.01,65.1,21.86,7.34,6.0,4.8,6.0,1.65,19.09,2026-06,-4.86,15.9,-3.93,14.58,6.12,,外資主導買超；前大買超分點約占成交 6.12%；收盤距區間均價 -2.78%；連買：外0 / 投3；營收 2026-06，月增 -4.86%，年增 15.9%，累計年增 -3.93%,外資買超；融資下降；放量；主力分點連20買；千張大戶增持；營收 2026-06，月增 -4.86%，年增 15.9%，累計年增 -3.93%,19.09
2026-07-29,6147,頎邦,TPEX,半導體業,,20,126.0,36.84,2.22,2.0,-42.47,31.39,111.59,-46.72,0.0,59.772,-12.0,252,117.62,125.0,92.34,54.93,-59.81,151.0,-41.89,23.6,13.2,0.0,2026-07-24,59.81,-0.63,-4.15,64.93,30.91,0.76,-5.5,2026Q1,23.46,13.69,7.6,3,3.43,36.73,73.8,14.51,153.9,0.59,-34.4,-0.05,5.0,3.0,2.0,0.0,0,0,毛利率連 3 季升、月營收年增 27%、PE 36.8（一年 74% 分位）、距 52 週高點 -60%,5.0,30.78,187.1369,-32.67,638802.0,28834.0,31940.1,36365.0,0.9,1.14,1.05,正常,62658.17,-28365.45,34292.72,9.81,-4.44,5,0,0,3,7083.94,-1208.0,台灣摩根士丹利,23986.0,,175.83,20,台灣摩根士丹利,0,富邦證券,14107.0,,11.4,18.31,-17946,66,2.81,29.56,已取得,24.56,54.12,8.05,4.51,0.0,6.0,6.0,8.44,29.56,2026-06,6.03,27.06,17.8,5.37,3.75,,外資主導買超；前大買超分點約占成交 3.75%；收盤距區間均價 -32.67%；連買：外5 / 投0；營收 2026-06，月增 6.03%，年增 27.06%，累計年增 17.8%,外資買超；融資下降；波動偏高；主力分點連20買；毛利率連3升；千張大戶減持；營收 2026-06，月增 6.03%，年增 27.06%，累計年增 17.8%,29.56
2026-07-29,1402,遠東新,TWSE,紡織纖維,,20,27.25,16.93,4.59,0.62,-3.71,42.68,26.59,-8.86,5.83,6.226,-2.23,252,-3.02,-5.05,-28.3,-75.12,-13.9,16.95,0.0,-1.05,-6.7,5.0,2026-07-24,86.63,0.14,0.24,88.59,8.33,-0.08,2.34,2026Q1,21.9,7.99,5.05,1,1.7,16.03,16.7,17.75,-4.6,0.61,32.6,-1.85,19.0,10.5,8.5,0.0,0,1,單季 EPS 年增 33%、毛利率連 1 季升、月營收年增 12%、PE 16.9（一年 17% 分位）、距 52 週高點 -14%,2.7,78.98,27.5657,-1.15,451710.72,16977.6,22585.54,17914.98,0.75,0.79,-6.29,正常,60841.95,35921.23,96763.18,13.47,7.95,12,0,4,0,2860.47,30.25,元大證券,25364.0,,27.78,20,元大證券,0,合庫證券,22752.0,,18.22,77.88,-1710,-113,0.37,81.02,已取得,61.64,142.66,22.5,6.74,6.0,12.4,14.0,2.77,81.02,2026-06,-2.15,12.06,5.35,21.42,5.62,,外資與投信同買；前大買超分點約占成交 5.62%；收盤距區間均價 -1.15%；連買：外12 / 投4；營收 2026-06，月增 -2.15%，年增 12.06%，累計年增 5.35%,外資買超；投信買超；融資下降；年線之下；主力分點連20買；營收 2026-06，月增 -2.15%，年增 12.06%，累計年增 5.35%,81.02
2026-07-29,2615,萬海,TWSE,航運業,貨櫃航運,20,85.0,7.85,3.53,0.83,8.56,63.59,42.97,-3.3,10.39,9.53,9.14,252,12.29,-4.17,-12.99,-74.24,-10.05,16.44,5.08,6.66,3.67,6.5,2026-07-24,83.52,0.69,0.93,86.06,11.57,-0.76,6.0,2026Q1,22.76,17.32,22.8,-2,10.83,7.85,97.2,6.47,21.3,2.73,-12.2,-7.6,-0.5,-7.0,6.5,0.0,0,0,毛利率連 2 季降、月營收年增 32%、PE 7.8（一年 97% 分位）、距 52 週高點 -10%,2.1,87.93,82.5743,2.94,230816.3,16363.97,11540.81,13030.4,1.42,1.13,10.08,正常,55956.84,324.06,56280.9,24.24,0.14,2,0,1,0,4724.22,96.25,台灣摩根士丹利,12145.0,,82.82,20,台灣摩根士丹利,0,第一金,2234.0,,19.83,44.85,-3885,135,1.72,55.48,已取得,52.81,108.29,22.5,6.31,6.0,4.0,14.0,8.91,55.48,2026-06,17.11,32.44,6.36,24.38,5.26,,外資與投信同買；前大買超分點約占成交 5.26%；收盤距區間均價 2.94%；連買：外2 / 投1；營收 2026-06，月增 17.11%，年增 32.44%，累計年增 6.36%,外資買超；投信買超；融資下降；主力分點連20買；毛利率連2降；千張大戶增持；營收 2026-06，月增 17.11%，年增 32.44%，累計年增 6.36%,55.48
2026-07-29,2610,華航,TWSE,航運業,航空,20,21.7,8.48,3.73,1.29,-3.77,47.01,34.36,-8.44,7.96,10.618,-2.26,252,-2.91,5.34,-28.18,-64.73,-12.32,22.6,6.09,7.27,0.33,6.5,2026-07-24,69.52,-0.04,-0.05,72.4,22.38,-0.03,-0.47,2026Q1,20.6,11.29,9.07,2,2.58,8.41,83.7,7.99,6.1,0.85,23.2,0.58,20.0,13.5,6.5,0.0,0,0,單季 EPS 年增 23%、毛利率連 2 季升、月營收年增 29%、PE 8.5（一年 84% 分位）、距 52 週高點 -12%,3.9,69.77,21.6494,0.23,980909.65,65660.07,49045.48,53742.38,1.34,1.1,8.6,正常,47876.93,27196.76,75073.69,4.88,2.77,4,0,9,0,14106.42,509.0,美林,28663.0,,21.33,5,美林,0,台灣摩根士丹利,23612.0,,16.3,49.32,-692,297,0.09,57.47,已取得,47.79,105.26,11.48,3.51,6.0,12.8,14.0,8.06,57.47,2026-06,2.5,28.82,16.09,7.65,2.92,,外資與投信同買；前大買超分點約占成交 2.92%；收盤距區間均價 0.23%；連買：外4 / 投9；營收 2026-06，月增 2.5%，年增 28.82%，累計年增 16.09%,外資買超；投信買超；融資下降；主力分點連5買；毛利率連2升；營收 2026-06，月增 2.5%，年增 28.82%，累計年增 16.09%,57.47
2026-07-29,3481,群創,TWSE,光電業,面板,20,41.8,380.0,2.39,1.47,-37.98,11.51,62.58,-42.34,3.21,228.78,-7.5,252,74.17,261.9,48.89,191.83,-42.42,280.0,-18.88,57.1,11.87,0.0,2026-07-24,34.51,-0.84,-5.65,39.19,51.11,0.9,-5.5,2026Q1,14.43,2.25,2.45,2,0.11,380.0,65.9,18.79,1922.4,0.2,66.7,4.47,20.5,17.0,3.5,0.0,0,0,單季 EPS 年增 67%、毛利率連 2 季升、月營收年增 17%、PE 380.0（一年 66% 分位）、距 52 週高點 -42%,3.9,5.44,58.8247,-28.94,7778351.42,524232.52,388917.57,334369.3,1.35,0.86,1.93,正常,41153.81,-77196.6,-36042.79,0.53,-0.99,0,1,0,1,-7747.52,-247.29,美商高盛,59889.0,,,,,0,國泰證券,48982.0,,0.61,-6.29,-132290,13194,1.7,1.71,已取得,0.0,1.71,0.0,0.0,0.0,0.0,0.0,6.3,1.71,2026-06,5.11,17.25,16.12,,,,營收 2026-06，月增 5.11%，年增 17.25%，累計年增 16.12%,外資買超；融資下降；毛利率連2升；千張大戶減持；營收 2026-06，月增 5.11%，年增 17.25%，累計年增 16.12%,1.71
