latest_date,stock_id,name,market,industry,sub_industry,observed_days,close,pe_ratio,dividend_yield,pb_ratio,period_return_pct,rsi14,volatility_pct,close_vs_high_pct,close_vs_low_pct,avg_turnover_100m,momentum_score,history_days,return_6m_pct,return_12m_pct,rs_6m_pct,rs_12m_pct,close_vs_52w_high_pct,close_vs_52w_low_pct,close_vs_ma60_pct,close_vs_ma240_pct,long_momentum_score,valuation_score,disp_date,big_holder_pct,big_holder_change_1w,big_holder_change_4w,holder_400_pct,retail_pct,retail_change_1w,dispersion_score,fin_quarter,gross_margin_pct,operating_margin_pct,net_margin_pct,gross_margin_streak,eps_ttm,pe_ttm,pe_percentile,pe_median_1y,eps_single_q,eps_yoy_pct,operating_margin_yoy_pt,mispriced_score,mispriced_earnings_score,mispriced_cheap_score,mispriced_trap_penalty,mispriced_reason,fundamental_score,multifactor_score,20d_avg_price,close_vs_avg_pct,20d_volume_lot,latest_volume_lot,volume_avg_lot,volume_5d_avg_lot,volume_ratio_1d,volume_ratio_5d,volume_score,volume_signal,20d_foreign_net_lot,20d_trust_net_lot,20d_inst_net_lot,foreign_net_volume_pct,trust_net_volume_pct,foreign_buy_streak,foreign_sell_streak,trust_buy_streak,trust_sell_streak,latest_foreign_net_lot,latest_trust_net_lot,top_buy_branch_name,top_buy_branch_net_lot,top_buy_branch_avg_price,top_buy_branch_est_cost,branch_buy_streak,branch_streak_broker,top_buy_is_day_trader,top_sell_branch_name,top_sell_branch_net_lot,top_sell_branch_avg_price,branch_score,chip_score,margin_balance_change_lot,short_balance_change_lot,margin_score,base_score,branch_status,confluence_score,complete_chip_score,confluence_inst_score,confluence_branch_score,confluence_price_score,confluence_streak_score,confluence_direction_score,revenue_momentum_score,selection_score,revenue_month,revenue_mom_pct,revenue_yoy_pct,revenue_cumulative_yoy_pct,inst_net_volume_pct,top_buy_branch_volume_pct,close_vs_top_buy_avg_pct,selection_reason,base_reason,total_score
2026-07-29,5386,青雲,TPEX,電腦及週邊設備業,,20,214.0,4.24,3.04,3.18,-49.65,20.24,166.06,-53.73,6.2,5.211,-10.5,252,154.76,198.47,129.49,128.39,-65.92,244.61,-51.89,-0.49,6.2,4.5,2026-07-24,28.28,0.0,0.0,34.31,55.36,2.81,0.0,2026Q1,27.1,23.08,,2,50.39,4.25,0.0,15.66,43.05,3289.8,18.6,37.0,19.0,18.0,0.0,單季 EPS 年增 3290%、毛利率連 2 季升、月營收年增 442%、PE 4.2（一年 0% 分位）、距 52 週高點 -66%,3.9,28.13,346.5271,-38.24,30075.0,1328.0,1503.75,1029.0,0.88,0.68,-6.45,正常,108.89,0.0,108.89,0.36,0.0,2,0,0,0,37.28,0.0,,,,,,,0,,,,0.0,8.01,-610,-181,1.85,27.26,未取得,0.0,27.26,0.0,0.0,0.0,0.0,0.0,17.4,27.26,2026-06,-35.52,442.3,503.09,,,,營收 2026-06，月增 -35.52%，年增 442.3%，累計年增 503.09%,外資買超；融資下降；年線之下；波動偏高；毛利率連2升；營收 2026-06，月增 -35.52%，年增 442.3%，累計年增 503.09%,27.26
2026-07-29,4967,十銓,TWSE,半導體業,,20,218.5,5.59,4.58,2.62,-12.77,40.52,53.59,-18.16,11.76,6.635,-9.0,252,6.59,196.88,-18.69,126.8,-32.35,215.3,-16.72,18.85,-1.58,4.5,2026-07-24,10.72,0.06,-1.08,20.6,70.05,-0.55,-0.52,2026Q1,38.01,32.12,25.36,4,39.06,5.59,2.0,30.25,27.0,2600.0,30.82,36.5,20.0,16.5,0.0,單季 EPS 年增 2600%、毛利率連 4 季升、月營收年增 35%、PE 5.6（一年 2% 分位）、距 52 週高點 -32%,8.0,30.83,231.2578,-5.52,57385.64,5068.42,2869.28,2837.91,1.77,0.99,12.02,放量,-595.55,866.0,270.45,-1.04,1.51,0,1,0,0,-63.46,0.0,,,,,,,0,,,,0.0,3.07,-1353,-148,2.28,23.42,未取得,0.0,23.42,0.0,0.0,0.0,0.0,0.0,18.07,23.42,2026-06,18.09,35.0,72.91,,,,營收 2026-06，月增 18.09%，年增 35.0%，累計年增 72.91%,投信買超；融資下降；放量；毛利率連4升；營收 2026-06，月增 18.09%，年增 35.0%，累計年增 72.91%,23.42
2026-07-29,3135,凌航,TWSE,半導體業,,20,148.0,10.47,3.18,4.07,-11.38,36.72,77.0,-22.31,10.45,2.75,-12.0,237,21.81,,-3.46,,-44.36,375.12,-22.54,,-2.23,4.5,2026-07-24,43.06,-0.01,-1.12,50.56,41.59,-0.19,-1.58,2026Q1,30.35,27.43,,3,16.55,8.94,1.7,49.4,10.76,1892.6,24.34,36.0,20.0,16.0,0.0,單季 EPS 年增 1893%、毛利率連 3 季升、月營收年增 150%、PE 10.5（一年 2% 分位）、距 52 週高點 -44%,5.0,17.88,162.4711,-8.91,33854.63,2701.02,1692.73,1843.52,1.6,1.09,8.57,放量,-114.14,0.0,-114.14,-0.34,0.0,1,0,0,0,17.33,0.0,,,,,,,0,,,,0.0,1.06,15,-7,-0.04,19.91,未取得,0.0,19.91,0.0,0.0,0.0,0.0,0.0,18.89,19.91,2026-06,-12.58,150.02,842.76,,,,營收 2026-06，月增 -12.58%，年增 150.02%，累計年增 842.76%,融資增加；放量；波動偏高；毛利率連3升；營收 2026-06，月增 -12.58%，年增 150.02%，累計年增 842.76%,19.91
2026-07-29,9958,世紀鋼,TWSE,鋼鐵工業,,20,104.0,13.27,4.33,2.24,-11.49,25.42,37.23,-17.13,3.48,2.278,-7.5,252,-25.18,-44.68,-50.45,-114.75,-49.51,3.48,-6.08,-24.19,-12.0,3.0,2026-07-24,43.4,-1.3,-0.58,53.36,39.95,0.37,-5.5,2026Q1,33.19,28.83,14.23,2,7.79,13.35,2.4,25.42,2.63,86.5,7.99,35.0,19.0,16.0,0.0,單季 EPS 年增 86%、毛利率連 2 季升、月營收年增 64%、PE 13.3（一年 2% 分位）、距 52 週高點 -50%,5.4,17.05,114.9903,-9.56,39623.23,2191.84,1981.16,1955.43,1.11,0.99,1.07,正常,64.26,501.0,565.26,0.16,1.26,1,0,1,0,584.32,2.0,,,,,,,0,,,,0.0,12.13,-1006,-71,2.49,33.11,未取得,0.0,33.11,0.0,0.0,0.0,0.0,0.0,18.49,33.11,2026-06,25.2,64.09,29.18,,,,營收 2026-06，月增 25.2%，年增 64.09%，累計年增 29.18%,外資買超；投信買超；融資下降；年線之下；毛利率連2升；千張大戶減持；營收 2026-06，月增 25.2%，年增 64.09%，累計年增 29.18%,33.11
2026-07-29,3260,威剛,TPEX,半導體業,,20,394.0,7.87,4.31,4.54,-1.13,47.38,64.29,-6.19,17.96,34.6,-0.68,251,25.28,328.26,0.01,258.19,-24.95,343.19,-4.6,39.66,6.53,4.5,2026-07-24,25.08,-0.11,-0.16,30.52,59.44,0.23,-1.36,2026Q1,55.69,47.05,36.53,4,51.51,7.65,3.6,16.85,30.05,1647.1,42.8,35.0,20.0,15.0,0.0,單季 EPS 年增 1647%、毛利率連 4 季升、月營收年增 212%、PE 7.9（一年 4% 分位）、距 52 週高點 -25%,8.0,70.56,389.8493,1.06,177504.0,30604.0,8875.2,12548.4,3.45,1.41,27.62,強放量,1840.04,855.19,2695.24,1.04,0.48,1,0,1,0,2413.7,248.0,,,,,,,0,,,,0.0,14.99,-4004,1558,2.78,39.76,未取得,0.0,39.76,0.0,0.0,0.0,0.0,0.0,21.99,39.76,2026-06,13.28,212.06,183.33,,,,營收 2026-06，月增 13.28%，年增 212.06%，累計年增 183.33%,外資買超；投信買超；融資下降；強放量；毛利率連4升；營收 2026-06，月增 13.28%，年增 212.06%，累計年增 183.33%,39.76
2026-07-29,2451,創見,TWSE,半導體業,,20,269.5,4.69,4.37,3.02,7.58,56.89,70.8,-3.06,24.77,15.706,5.55,252,13.0,184.88,-12.28,114.81,-29.63,205.21,-8.23,28.49,3.83,4.5,2026-07-24,66.9,-0.28,-2.18,72.35,21.49,0.03,-3.74,2026Q1,76.39,71.8,59.6,5,31.04,8.68,1.2,26.68,18.93,2075.9,55.7,34.5,20.0,16.5,-2.0,單季 EPS 年增 2076%、毛利率連 5 季升、月營收年增 382%、PE 4.7（一年 1% 分位）、距 52 週高點 -30%,8.0,34.79,255.5539,5.46,122918.15,12723.04,6145.91,11525.77,2.07,1.88,26.85,強放量,-11156.73,-436.6,-11593.33,-9.08,-0.36,1,0,4,0,9.91,6.0,,,,,,,0,,,,0.0,-14.59,669,373,-0.25,3.22,未取得,0.0,3.22,0.0,0.0,0.0,0.0,0.0,18.06,3.22,2026-06,-19.53,381.55,422.17,,,,營收 2026-06，月增 -19.53%，年增 381.55%，累計年增 422.17%,融資增加；強放量；波動偏高；毛利率連5升；營收 2026-06，月增 -19.53%，年增 381.55%，累計年增 422.17%,3.22
2026-07-29,8271,宇瞻,TWSE,半導體業,,20,222.5,5.53,2.0,3.03,23.61,71.07,66.62,-1.33,34.04,9.399,15.0,252,98.66,284.28,73.39,214.21,-17.9,328.71,3.6,62.37,17.2,3.0,2026-07-24,37.22,0.77,-1.06,42.89,47.91,-0.85,3.0,2026Q1,49.27,32.85,26.45,3,20.52,10.84,1.2,25.86,14.54,1919.4,28.31,34.0,20.0,14.0,0.0,單季 EPS 年增 1919%、毛利率連 3 季升、月營收年增 201%、PE 5.5（一年 1% 分位）、距 52 週高點 -18%,8.0,82.98,200.6184,10.91,93699.0,18407.42,4684.95,9867.47,3.93,2.11,30.0,強放量,-1855.71,560.0,-1295.71,-1.98,0.6,3,0,0,0,2126.55,0.0,,,,,,,0,,,,0.0,2.43,1196,621,-0.62,21.78,未取得,0.0,21.78,0.0,0.0,0.0,0.0,0.0,19.97,21.78,2026-06,-3.61,200.65,251.11,,,,營收 2026-06，月增 -3.61%，年增 200.65%，累計年增 251.11%,投信買超；融資增加；強放量；接近區間高點；波動偏高；毛利率連3升；千張大戶增持；營收 2026-06，月增 -3.61%，年增 200.65%，累計年增 251.11%,21.78
2026-07-29,8110,華東,TWSE,半導體業,,20,34.15,12.51,4.36,1.39,-36.88,20.17,68.25,-41.22,0.0,2.649,-10.5,252,-54.77,164.73,-80.04,94.66,-61.19,174.3,-34.59,-22.48,-12.0,5.0,2026-07-24,47.87,-0.6,-6.0,50.94,44.9,0.24,-5.5,2026Q1,10.04,5.25,12.64,3,2.76,12.37,0.5,26.88,0.49,133.3,9.66,33.5,18.0,17.5,-2.0,單季 EPS 年增 133%、毛利率連 3 季升、月營收年增 16%、PE 12.5（一年 0% 分位）、距 52 週高點 -61%,6.5,-26.07,47.8691,-28.66,110683.55,6682.51,5534.18,4423.07,1.21,0.8,-0.72,正常,-8703.17,0.0,-8703.17,-7.86,0.0,2,0,0,0,202.2,0.0,,,,,,,0,,,,0.0,-18.02,-3830,365,3.46,-9.21,未取得,0.0,-9.21,0.0,0.0,0.0,0.0,0.0,5.35,-9.21,2026-06,2.42,16.26,13.32,,,,營收 2026-06，月增 2.42%，年增 16.26%，累計年增 13.32%,融資下降；年線之下；波動偏高；毛利率連3升；千張大戶減持；營收 2026-06，月增 2.42%，年增 16.26%，累計年增 13.32%,-9.21
2026-07-29,6005,群益證,TWSE,金融保險業,,20,32.85,9.18,5.21,1.48,-12.75,33.65,40.35,-17.15,2.34,3.789,-9.0,252,15.06,61.82,-10.21,-8.25,-27.88,64.25,-8.57,16.15,4.28,8.0,2026-07-24,68.39,-0.36,-2.38,71.85,21.81,0.19,-4.38,2026Q1,,31.15,43.5,0,3.58,9.18,3.6,10.79,1.34,235.0,16.76,33.0,16.0,19.0,-2.0,單季 EPS 年增 235%、月營收年增 101%、PE 9.2（一年 4% 分位）、距 52 週高點 -28%,4.5,-8.73,35.4409,-7.31,213805.12,12980.93,10690.26,10389.86,1.21,0.97,2.12,正常,-2195.68,-45053.75,-47249.43,-1.03,-21.07,0,2,4,0,-2442.58,19.0,,,,,,,0,,,,0.0,-33.05,170,-4,-0.06,-13.19,未取得,0.0,-13.19,0.0,0.0,0.0,0.0,0.0,19.92,-13.19,2026-06,-4.02,101.2,127.6,,,,營收 2026-06，月增 -4.02%，年增 101.2%，累計年增 127.6%,融資增加；千張大戶減持；營收 2026-06，月增 -4.02%，年增 101.2%，累計年增 127.6%,-13.19
2026-07-29,1785,光洋科,TPEX,其他電子業,,20,95.4,18.82,2.1,3.42,-32.82,13.62,72.65,-40.56,3.92,18.094,-10.5,252,47.91,90.8,22.63,20.73,-48.43,94.5,-31.58,7.73,7.51,0.0,2026-07-24,37.55,-0.61,-3.61,43.75,47.36,-0.17,-5.5,2026Q1,18.23,13.88,10.4,3,5.08,18.78,6.7,28.11,2.54,323.3,3.7,33.0,20.0,13.0,0.0,單季 EPS 年增 323%、毛利率連 3 季升、月營收年增 71%、PE 18.8（一年 7% 分位）、距 52 週高點 -48%,6.5,40.81,131.6513,-27.54,274881.0,14818.0,13744.05,6738.2,1.08,0.49,-7.06,正常,9316.83,-1656.25,7660.58,3.39,-0.6,3,0,3,0,3822.8,2.0,台灣摩根士丹利,8134.0,,,0,台灣摩根士丹利,0,元大-內湖民權,3866.0,,2.85,24.0,-13105,-301,4.73,46.33,已取得,22.13,68.46,4.18,3.55,0.0,8.4,6.0,17.6,46.33,2026-06,-23.32,70.84,73.18,2.79,2.96,,外資主導買超；前大買超分點約占成交 2.96%；收盤距區間均價 -27.54%；連買：外3 / 投3；營收 2026-06，月增 -23.32%，年增 70.84%，累計年增 73.18%,外資買超；融資下降；波動偏高；毛利率連3升；千張大戶減持；營收 2026-06，月增 -23.32%，年增 70.84%，累計年增 73.18%,46.33
2026-07-29,5289,宜鼎,TPEX,電腦及週邊設備業,,20,1160.0,15.6,1.47,7.71,-26.35,26.17,77.33,-32.56,6.42,38.722,-10.5,252,55.7,411.01,30.43,340.94,-42.72,426.08,-29.85,33.33,9.22,0.0,2026-07-24,21.98,1.12,-5.83,34.94,49.24,-0.21,3.0,2026Q1,59.1,51.96,41.47,3,75.53,15.36,0.0,32.48,57.49,1462.2,37.95,33.0,20.0,13.0,0.0,單季 EPS 年增 1462%、毛利率連 3 季升、月營收年增 696%、PE 15.6（一年 0% 分位）、距 52 週高點 -43%,8.0,39.74,1451.4497,-20.08,53357.0,3345.0,2667.85,2240.0,1.25,0.84,3.48,正常,3879.34,-3774.52,104.82,7.27,-7.07,2,0,1,0,625.86,0.25,,,,,,,0,,,,0.0,6.51,-194,-19,0.35,28.28,未取得,0.0,28.28,0.0,0.0,0.0,0.0,0.0,21.42,28.28,2026-06,8.51,696.31,530.86,,,,營收 2026-06，月增 8.51%，年增 696.31%，累計年增 530.86%,外資買超；融資下降；波動偏高；毛利率連3升；千張大戶增持；營收 2026-06，月增 8.51%，年增 696.31%，累計年增 530.86%,28.28
2026-07-29,8299,群聯,TPEX,半導體業,,20,1515.0,14.49,1.53,4.52,-33.26,25.3,75.42,-37.4,2.02,87.511,-10.5,252,-24.25,185.85,-49.52,115.78,-47.4,225.11,-34.42,-1.03,-12.0,1.5,2026-07-24,33.16,-1.8,-2.93,43.59,45.56,0.6,-5.5,2026Q1,61.31,36.23,37.04,3,105.25,14.39,0.0,34.8,68.8,1144.1,27.84,33.0,20.0,15.0,-2.0,單季 EPS 年增 1144%、毛利率連 3 季升、月營收年增 301%、PE 14.5（一年 0% 分位）、距 52 週高點 -47%,8.0,-13.17,1980.0171,-23.49,88394.0,8133.0,4419.7,4812.4,1.84,1.09,11.5,放量,-803.63,-2779.36,-3582.99,-0.91,-3.14,0,2,0,3,-192.02,-560.86,,,,,,,0,,,,0.0,-24.42,-2247,91,2.54,-0.42,未取得,0.0,-0.42,0.0,0.0,0.0,0.0,0.0,21.46,-0.42,2026-06,8.87,301.0,243.08,,,,營收 2026-06，月增 8.87%，年增 301.0%，累計年增 243.08%,融資下降；放量；年線之下；波動偏高；毛利率連3升；千張大戶減持；營收 2026-06，月增 8.87%，年增 301.0%，累計年增 243.08%,-0.42
2026-07-29,6215,和椿,TWSE,其他電子業,,20,84.4,29.61,1.18,4.31,-21.85,11.84,63.16,-29.37,5.11,1.929,-7.5,252,-30.53,-28.47,-55.81,-98.55,-48.54,5.11,-24.86,-25.97,-12.0,0.0,2026-07-24,26.4,0.0,-1.23,32.13,59.89,0.9,-1.5,2026Q1,29.92,14.07,12.2,2,2.85,29.61,0.4,55.9,1.14,208.1,8.46,32.0,19.0,13.0,0.0,單季 EPS 年增 208%、毛利率連 2 季升、月營收年增 30%、PE 29.6（一年 0% 分位）、距 52 週高點 -49%,5.4,-3.54,109.4599,-22.89,35241.71,1705.96,1762.09,836.38,0.97,0.47,-8.38,正常,-150.1,0.0,-150.1,-0.43,0.0,1,0,0,0,311.89,0.0,,,,,,,0,,,,0.0,0.81,-710,-217,1.83,16.25,未取得,0.0,16.25,0.0,0.0,0.0,0.0,0.0,13.61,16.25,2026-06,-4.01,30.49,53.74,,,,營收 2026-06，月增 -4.01%，年增 30.49%，累計年增 53.74%,融資下降；年線之下；毛利率連2升；營收 2026-06，月增 -4.01%，年增 30.49%，累計年增 53.74%,16.25
2026-07-29,8103,瀚荃,TWSE,電子零組件業,,20,69.1,14.89,4.05,1.4,-30.48,14.55,53.98,-34.19,3.91,0.924,-7.5,245,-28.02,63.16,-53.29,-6.91,-49.38,66.51,-29.69,-15.91,-12.0,5.0,2026-07-24,27.95,-1.22,0.48,42.49,43.57,0.66,-2.56,2026Q1,37.97,14.24,9.96,-1,4.36,15.85,6.9,21.55,1.17,60.3,5.22,32.0,14.5,17.5,0.0,單季 EPS 年增 60%、毛利率連 1 季降、月營收年增 45%、PE 14.9（一年 7% 分位）、距 52 週高點 -49%,0.3,7.53,87.6065,-21.12,21084.63,1916.36,1054.23,776.08,1.82,0.74,5.59,放量,-196.18,0.0,-196.18,-0.93,0.0,2,0,0,0,601.22,0.0,,,,,,,0,,,,0.0,1.39,-1457,1,6.91,21.5,未取得,0.0,21.5,0.0,0.0,0.0,0.0,0.0,13.2,21.5,2026-06,7.33,45.04,26.34,,,,營收 2026-06，月增 7.33%，年增 45.04%，累計年增 26.34%,融資下降；放量；年線之下；千張大戶減持；營收 2026-06，月增 7.33%，年增 45.04%，累計年增 26.34%,21.5
2026-07-29,6757,台灣虎航,TWSE,航運業,,20,55.2,8.87,4.38,3.36,-10.24,34.87,27.91,-11.82,5.14,1.072,-6.0,252,-20.23,-34.75,-45.5,-104.82,-37.63,17.07,-2.44,-15.13,-12.0,4.5,2026-07-24,72.78,-0.79,-1.5,75.22,22.29,0.53,-5.5,2026Q1,40.68,30.51,,2,6.23,8.86,7.1,12.7,2.91,42.0,4.93,31.5,17.0,16.5,-2.0,單季 EPS 年增 42%、毛利率連 2 季升、月營收年增 27%、PE 8.9（一年 7% 分位）、距 52 週高點 -38%,3.9,-23.14,57.941,-4.73,37004.53,2363.06,1850.23,2251.29,1.28,1.22,6.79,正常,-3408.3,0.0,-3408.3,-9.21,0.0,2,0,0,0,796.54,0.0,,,,,,,0,,,,0.0,-21.79,-437,-17,1.17,-11.43,未取得,0.0,-11.43,0.0,0.0,0.0,0.0,0.0,9.19,-11.43,2026-06,6.37,27.12,22.13,,,,營收 2026-06，月增 6.37%，年增 27.12%，累計年增 22.13%,融資下降；年線之下；毛利率連2升；千張大戶減持；營收 2026-06，月增 6.37%，年增 27.12%，累計年增 22.13%,-11.43
2026-07-29,3028,增你強,TWSE,電子通路業,,20,58.3,11.41,5.15,2.17,-27.85,28.65,63.03,-30.6,3.19,1.734,-7.5,252,43.07,76.67,17.79,6.59,-33.98,91.46,-23.71,16.26,6.44,6.0,2026-07-24,40.39,-0.63,0.75,45.05,46.91,0.29,-2.5,2026Q1,9.1,5.4,4.08,2,5.11,11.41,1.2,13.97,3.05,179.8,1.93,31.0,17.5,15.5,-2.0,單季 EPS 年增 180%、毛利率連 2 季升、月營收年增 66%、PE 11.4（一年 1% 分位）、距 52 週高點 -34%,3.9,-2.68,72.526,-19.62,47815.86,2840.86,2390.79,1815.49,1.19,0.76,-1.59,正常,-6061.05,95.15,-5965.9,-12.68,0.2,0,1,1,0,-352.34,2.0,,,,,,,0,,,,0.0,-28.98,-646,53,1.35,-8.23,未取得,0.0,-8.23,0.0,0.0,0.0,0.0,0.0,19.4,-8.23,2026-06,-8.34,65.62,93.18,,,,營收 2026-06，月增 -8.34%，年增 65.62%，累計年增 93.18%,投信買超；融資下降；毛利率連2升；千張大戶減持；營收 2026-06，月增 -8.34%，年增 65.62%，累計年增 93.18%,-8.23
2026-07-29,8473,山林水,TWSE,綠能環保,,20,40.4,14.18,4.65,1.04,-16.87,31.62,43.38,-20.47,1.76,0.364,-9.0,252,4.39,25.66,-20.88,-44.41,-29.37,29.28,-10.72,2.84,1.93,5.0,2026-07-24,65.58,-0.01,-0.9,69.5,24.26,0.04,-1.58,2026Q1,32.87,26.68,17.21,2,2.86,14.13,6.0,17.75,1.23,33.7,3.1,31.0,15.0,16.0,0.0,單季 EPS 年增 34%、毛利率連 2 季升、月營收年增 18%、PE 14.2（一年 6% 分位）、距 52 週高點 -29%,5.4,27.31,45.6122,-11.43,15956.32,1376.11,797.82,579.76,1.72,0.73,7.33,放量,367.32,14.88,382.2,2.3,0.09,1,0,0,0,288.8,0.0,,,,,,,0,,,,0.0,11.75,-423,-83,2.49,21.9,未取得,0.0,21.9,0.0,0.0,0.0,0.0,0.0,7.66,21.9,2026-06,21.15,18.1,11.68,,,,營收 2026-06，月增 21.15%，年增 18.1%，累計年增 11.68%,外資買超；投信買超；融資下降；放量；毛利率連2升；營收 2026-06，月增 21.15%，年增 18.1%，累計年增 11.68%,21.9
2026-07-29,3033,威健,TWSE,電子通路業,,20,43.45,16.52,4.42,1.97,-12.75,37.16,64.43,-26.85,3.58,6.754,-9.0,252,41.07,27.79,15.8,-42.28,-26.85,57.43,-11.28,22.83,10.0,3.0,2026-07-24,36.14,-2.32,1.35,43.88,45.92,1.16,-2.5,2026Q1,6.18,3.41,2.36,3,2.65,16.4,8.3,18.85,1.52,123.5,0.77,31.0,18.5,12.5,0.0,單季 EPS 年增 124%、毛利率連 3 季升、月營收年增 54%、PE 16.5（一年 8% 分位）、距 52 週高點 -27%,5.0,31.74,51.7577,-16.05,260992.25,10669.81,13049.61,7043.07,0.82,0.54,-9.55,正常,5299.34,-451.75,4847.58,2.03,-0.17,1,0,1,0,322.4,2.0,,,,,,,0,,,,0.0,12.61,-1349,-161,0.5,30.01,未取得,0.0,30.01,0.0,0.0,0.0,0.0,0.0,16.9,30.01,2026-06,24.22,54.45,26.2,,,,營收 2026-06，月增 24.22%，年增 54.45%，累計年增 26.2%,外資買超；融資下降；毛利率連3升；千張大戶減持；營收 2026-06，月增 24.22%，年增 54.45%，累計年增 26.2%,30.01
2026-07-29,3709,鑫聯大投控,TPEX,電腦及週邊設備業,,20,67.5,6.86,3.19,2.03,-8.41,39.41,49.2,-19.64,5.47,0.906,-8.05,252,9.93,86.98,-15.34,16.91,-27.34,90.41,-14.72,9.75,3.15,4.5,2026-07-24,67.56,0.57,0.49,72.3,19.75,-0.18,5.97,2026Q1,7.6,4.94,3.92,-1,10.04,6.72,0.0,11.72,3.69,385.5,3.54,31.0,14.5,16.5,0.0,單季 EPS 年增 386%、毛利率連 1 季降、月營收年增 72%、PE 6.9（一年 0% 分位）、距 52 週高點 -27%,0.3,46.86,76.6514,-11.94,23632.0,1417.0,1181.6,837.6,1.2,0.71,-2.27,正常,702.84,0.0,702.84,2.97,0.0,3,0,0,0,204.66,0.0,統一-桃園,392.0,,,,,0,元大證券,339.0,,1.27,17.33,-978,-14,4.12,42.13,已取得,16.05,58.18,4.46,1.99,0.0,3.6,6.0,20.68,42.13,2026-06,119.21,72.07,31.77,2.97,1.66,,外資主導買超；前大買超分點約占成交 1.66%；收盤距區間均價 -11.94%；連買：外3 / 投0；營收 2026-06，月增 119.21%，年增 72.07%，累計年增 31.77%,外資買超；融資下降；千張大戶增持；營收 2026-06，月增 119.21%，年增 72.07%，累計年增 31.77%,42.13
