latest_date,stock_id,name,market,observed_days,close,20d_avg_price,close_vs_avg_pct,20d_volume_lot,20d_foreign_net_lot,20d_trust_net_lot,20d_inst_net_lot,foreign_net_volume_pct,trust_net_volume_pct,foreign_buy_streak,foreign_sell_streak,trust_buy_streak,trust_sell_streak,latest_foreign_net_lot,latest_trust_net_lot,top_buy_branch_name,top_buy_branch_net_lot,top_buy_branch_avg_price,top_sell_branch_name,top_sell_branch_net_lot,top_sell_branch_avg_price,branch_score,chip_score,total_score
2026-04-17,3546,宇峻,TPEX,20,71.4,70.5384,1.22,2419.0,483.22,0.0,483.22,19.98,0.0,6,0,0,0,38.0,0.0,新加坡商瑞銀,140.0,70.6,國泰-台中,-62.0,70.63,15.66,48.0,63.66
2026-04-17,1203,味王,TWSE,20,43.4,40.8836,6.15,720.61,142.19,0.0,142.19,19.73,0.0,6,0,0,0,28.19,0.0,土銀-台中,141.0,40.53,合庫-自強,-58.0,41.13,21.46,42.0,63.46
2026-04-17,2034,允強,TWSE,20,21.0,20.5938,1.97,24579.81,3645.15,0.0,3645.15,14.83,0.0,9,0,0,0,533.2,0.0,台灣摩根士丹利,1291.0,20.63,新光-台中,-501.0,20.64,15.28,47.86,63.14
2026-04-17,6581,鋼聯,TWSE,20,107.5,108.2818,-0.72,420.09,85.01,0.0,85.01,20.24,0.0,8,0,0,0,8.28,0.0,元大-板橋,29.0,109.13,台新-基隆,-27.0,107.26,15.07,48.0,63.07
2026-04-17,8467,波力-KY,TWSE,20,155.0,152.6029,1.57,499.0,107.11,0.0,107.11,21.47,0.0,6,0,0,0,3.25,0.0,美林,31.0,153.12,富邦,-24.0,150.79,15.05,48.0,63.05
2026-04-17,1470,大統新創,TWSE,20,23.0,22.3514,2.9,228.28,42.31,0.0,42.31,18.54,0.0,8,0,0,0,9.31,0.0,花旗環球,17.0,22.5,群益金鼎-東湖,-19.0,22.37,14.77,48.0,62.77
2026-04-17,2701,萬企,TWSE,20,10.95,10.8163,1.24,1558.33,330.78,0.0,330.78,21.23,0.0,9,0,0,0,43.24,0.0,花旗環球,106.0,10.85,元大-新莊,-107.0,10.89,14.73,48.0,62.73
2026-04-17,2024,志聯,TWSE,20,14.95,14.7116,1.62,271.81,53.0,0.0,53.0,19.5,0.0,6,0,0,0,9.0,0.0,永豐金,33.0,14.61,台新-烏日,-74.0,14.57,14.57,48.0,62.57
2026-04-17,1232,大統益,TWSE,20,150.0,149.7881,0.14,1434.15,337.23,13.0,350.23,23.51,0.91,10,0,0,0,14.4,0.0,凱基-台北,90.0,149.74,凱基-高雄,-157.0,149.88,12.06,50.27,62.33
2026-04-17,1734,杏輝,TWSE,20,32.15,31.4381,2.26,6865.47,1245.17,0.0,1245.17,18.14,0.0,7,0,0,0,78.95,0.0,台灣摩根士丹利,386.0,31.63,華南永昌-長虹,-402.0,31.41,13.82,48.0,61.82
2026-04-17,4572,駐龍,TWSE,20,146.5,142.2595,2.98,649.56,81.0,0.0,81.0,12.47,0.0,9,0,0,0,15.2,0.0,美商高盛,56.0,142.61,港商麥格理,-64.0,140.52,15.42,45.98,61.4
