latest_date,stock_id,name,market,industry,sub_industry,observed_days,close,pe_ratio,dividend_yield,pb_ratio,period_return_pct,rsi14,volatility_pct,close_vs_high_pct,close_vs_low_pct,avg_turnover_100m,momentum_score,history_days,return_6m_pct,return_12m_pct,rs_6m_pct,rs_12m_pct,close_vs_52w_high_pct,close_vs_52w_low_pct,close_vs_ma60_pct,close_vs_ma240_pct,long_momentum_score,valuation_score,disp_date,big_holder_pct,big_holder_change_1w,big_holder_change_4w,holder_400_pct,retail_pct,retail_change_1w,dispersion_score,fin_quarter,gross_margin_pct,operating_margin_pct,net_margin_pct,gross_margin_streak,eps_ttm,pe_ttm,pe_percentile,pe_median_1y,pe_vs_median_pct,eps_single_q,eps_yoy_pct,operating_margin_yoy_pt,mispriced_score,mispriced_earnings_score,mispriced_cheap_score,mispriced_trap_penalty,mispriced_cyclical_peak,eps_ttm_at_high,mispriced_reason,fundamental_score,multifactor_score,20d_avg_price,close_vs_avg_pct,20d_volume_lot,latest_volume_lot,volume_avg_lot,volume_5d_avg_lot,volume_ratio_1d,volume_ratio_5d,volume_score,volume_signal,20d_foreign_net_lot,20d_trust_net_lot,20d_inst_net_lot,foreign_net_volume_pct,trust_net_volume_pct,foreign_buy_streak,foreign_sell_streak,trust_buy_streak,trust_sell_streak,latest_foreign_net_lot,latest_trust_net_lot,top_buy_branch_name,top_buy_branch_net_lot,top_buy_branch_avg_price,top_buy_branch_est_cost,branch_buy_streak,branch_streak_broker,top_buy_is_day_trader,top_sell_branch_name,top_sell_branch_net_lot,top_sell_branch_avg_price,branch_score,chip_score,margin_balance_change_lot,short_balance_change_lot,margin_score,base_score,branch_status,confluence_score,complete_chip_score,confluence_inst_score,confluence_branch_score,confluence_price_score,confluence_streak_score,confluence_direction_score,revenue_momentum_score,selection_score,revenue_month,revenue_mom_pct,revenue_yoy_pct,revenue_cumulative_yoy_pct,inst_net_volume_pct,top_buy_branch_volume_pct,close_vs_top_buy_avg_pct,selection_reason,base_reason,total_score
2026-09-17,3045,台灣大,TWSE,通信網路業,,20,124.0,23.44,3.82,4.49,7.83,84.0,11.44,-0.4,9.25,9.336,5.7,252,13.76,17.54,-25.08,-63.43,-0.4,19.23,8.19,11.82,8.37,1.5,2026-09-11,90.24,0.15,0.75,92.79,5.27,-0.1,3.2,2026Q2,22.16,12.38,9.18,2,5.33,23.26,84.1,23.0,1.9,1.49,36.7,1.49,12.5,11.5,1.0,0.0,0,1,單季 EPS 年增 37%、毛利率連 2 季升、月營收年增 8%、PE 23.4（一年 84% 分位）、距 52 週高點 -0%,3.9,76.71,117.4044,5.62,159037.4,5985.41,7951.87,7046.28,0.75,0.89,-4.79,正常,62041.29,4462.9,66504.19,39.01,2.81,20,0,2,0,762.21,51.0,台灣摩根士丹利,19187.0,,116.45,20,台灣摩根士丹利,0,凱基-城中,7401.0,,16.15,54.02,568,-249,-0.33,56.43,已取得,60.18,116.61,22.5,14.48,0.0,9.2,14.0,2.74,56.43,2026-08,3.78,8.5,4.73,41.82,12.06,6.48,外資與投信同買；前大買超分點約占成交 12.06%；收盤距區間均價 5.62%；收盤距分點均價 6.48%；連買：外20 / 投2；營收 2026-08，月增 3.78%，年增 8.5%，累計年增 4.73%,外資買超；投信買超；融資增加；接近區間高點；逼近52週高點；RSI過熱；主力分點連20買；毛利率連2升；營收 2026-08，月增 3.78%，年增 8.5%，累計年增 4.73%,56.43
2026-09-17,2880,華南金,TWSE,金融保險業,金控,20,47.9,20.74,3.03,2.76,20.96,91.35,19.12,-0.83,24.09,7.572,10.0,252,42.35,63.76,3.5,-17.2,-0.83,68.96,16.02,38.31,14.66,1.5,2026-09-11,79.63,0.05,0.48,82.05,12.86,-0.06,2.34,2026Q1,,,40.92,0,2.06,23.25,95.6,17.66,17.4,0.55,41.0,,10.0,9.0,1.0,0.0,0,1,單季 EPS 年增 41%、月營收年增 12%、PE 20.7（一年 96% 分位）、距 52 週高點 -1%,4.5,51.56,42.8308,11.84,353562.03,16181.63,17678.1,15937.45,0.92,0.9,-2.59,正常,113568.97,-22141.47,91427.51,32.12,-6.26,16,0,0,3,5363.26,-2023.0,台灣摩根士丹利,36077.0,,41.91,20,台灣摩根士丹利,0,土銀,18201.0,,7.67,14.84,-1833,127,0.54,19.85,已取得,40.74,60.59,22.5,12.24,-6.0,6.0,6.0,4.47,19.85,2026-08,-8.33,12.21,20.46,25.86,10.2,14.29,外資主導買超；前大買超分點約占成交 10.2%；收盤距區間均價 11.84%；收盤距分點均價 14.29%；連買：外16 / 投0；營收 2026-08，月增 -8.33%，年增 12.21%，累計年增 20.46%,外資買超；融資下降；接近區間高點；逼近52週高點；RSI過熱；主力分點連20買；營收 2026-08，月增 -8.33%，年增 12.21%，累計年增 20.46%,19.85
2026-09-17,2412,中華電,TWSE,通信網路業,,20,145.0,28.49,3.59,3.07,6.23,95.24,8.24,0.0,7.41,14.817,4.74,252,7.81,8.21,-31.04,-72.76,-1.36,11.97,4.78,6.98,7.18,1.5,2026-09-11,77.53,0.2,0.21,79.24,17.84,-0.14,2.73,2026Q2,37.54,21.61,17.34,-1,5.1,28.43,95.2,27.14,5.0,1.38,5.3,-0.5,6.5,5.5,1.0,0.0,0,1,單季 EPS 年增 5%、毛利率連 1 季降、月營收年增 26%、PE 28.5（一年 95% 分位）、距 52 週高點 -1%,1.8,68.72,139.0232,4.3,213165.19,15263.94,10658.26,16069.8,1.43,1.51,16.31,放量,70894.99,1.43,70896.43,33.26,0.0,13,0,0,3,10044.19,-563.0,台灣摩根士丹利,26381.0,,139.85,20,台灣摩根士丹利,0,臺銀,7683.0,,27.05,34.5,255,38,-0.09,42.61,已取得,71.35,113.96,22.5,14.85,14.0,6.0,14.0,8.2,42.61,2026-08,17.22,25.61,9.5,33.26,12.38,3.68,外資與投信同買；前大買超分點約占成交 12.38%；收盤距區間均價 4.3%；收盤距分點均價 3.68%；連買：外13 / 投0；營收 2026-08，月增 17.22%，年增 25.61%，累計年增 9.5%,外資買超；投信買超；融資增加；放量；接近區間高點；逼近52週高點；RSI過熱；主力分點連20買；營收 2026-08，月增 17.22%，年增 25.61%，累計年增 9.5%,42.61
2026-09-17,5876,上海商銀,TWSE,金融保險業,,20,49.95,14.11,3.6,1.13,13.14,83.66,26.46,-0.1,17.53,4.004,8.88,252,25.98,18.36,-12.87,-62.6,-0.1,32.85,12.11,21.24,11.05,5.0,2026-09-11,83.19,0.39,0.67,88.64,4.78,-0.17,5.12,2026Q1,,,,0,3.15,15.86,94.4,12.88,9.5,1.05,9.4,,7.5,3.0,4.5,0.0,0,0,單季 EPS 年增 9%、月營收年增 7%、PE 14.1（一年 94% 分位）、距 52 週高點 -0%,1.5,84.31,46.0795,8.4,173796.37,6710.34,8689.82,6934.4,0.77,0.8,-5.97,正常,50978.47,7010.71,57989.19,29.33,4.03,13,0,3,0,2123.54,575.0,台灣摩根士丹利,11631.0,,46.58,20,台灣摩根士丹利,0,合庫證券,10234.0,,9.09,55.58,-210,12,0.12,55.75,已取得,55.33,111.08,22.5,8.03,0.0,10.8,14.0,0.05,55.75,2026-08,-12.82,7.06,1.96,33.37,6.69,7.23,外資與投信同買；前大買超分點約占成交 6.69%；收盤距區間均價 8.4%；收盤距分點均價 7.23%；連買：外13 / 投3；營收 2026-08，月增 -12.82%，年增 7.06%，累計年增 1.96%,外資買超；投信買超；融資下降；接近區間高點；逼近52週高點；RSI過熱；主力分點連20買；千張大戶增持；營收 2026-08，月增 -12.82%，年增 7.06%，累計年增 1.96%,55.75
2026-09-17,2820,華票,TWSE,金融保險業,,20,17.45,10.33,5.16,0.84,6.4,71.05,15.68,-0.85,7.06,0.508,12.84,252,3.87,7.06,-34.98,-73.91,-3.32,8.72,4.08,4.0,0.79,8.0,2026-09-11,62.01,0.04,-0.17,65.79,25.22,-0.07,0.31,2026Q1,,,,0,1.52,11.48,6.0,12.72,-18.8,0.48,60.0,,26.5,13.0,13.5,0.0,0,1,單季 EPS 年增 60%、月營收年增 55%、PE 10.3（一年 6% 分位）、距 52 週高點 -3%,1.5,97.75,16.9659,2.85,59854.01,4405.27,2992.7,3982.75,1.47,1.33,13.96,放量,20569.59,0.0,20569.59,34.37,0.0,8,0,0,0,2939.94,0.0,台灣摩根士丹利,7174.0,,17.1,13,台灣摩根士丹利,0,統一-仁愛,8069.0,,21.64,48.0,-8,0,0.01,67.33,已取得,62.88,130.21,22.5,14.38,14.0,6.0,6.0,19.32,67.33,2026-08,16.77,54.67,46.66,34.37,11.99,2.05,外資主導買超；前大買超分點約占成交 11.99%；收盤距區間均價 2.85%；收盤距分點均價 2.05%；連買：外8 / 投0；營收 2026-08，月增 16.77%，年增 54.67%，累計年增 46.66%,外資買超；融資下降；放量；接近區間高點；主力分點連13買；營收 2026-08，月增 16.77%，年增 54.67%，累計年增 46.66%,67.33
2026-09-17,2472,立隆電,TWSE,電子零組件業,,20,208.5,21.23,1.68,3.6,-4.36,33.1,49.85,-15.07,1.71,5.035,-5.62,252,64.82,127.87,25.98,46.9,-57.27,151.51,-22.86,13.7,9.12,0.0,2026-09-11,48.51,1.47,-1.54,57.69,37.0,-0.33,3.0,2026Q2,31.55,21.72,10.69,1,9.81,21.25,62.3,16.59,28.0,2.38,93.5,0.37,19.0,16.0,5.0,-2.0,0,1,單季 EPS 年增 94%、毛利率連 1 季升、月營收年增 51%、PE 21.2（一年 62% 分位）、距 52 週高點 -57%,4.2,9.41,221.451,-5.85,45470.3,1767.57,2273.51,1907.98,0.78,0.84,-5.24,正常,4419.19,-6157.3,-1738.11,9.72,-13.54,8,0,0,11,313.15,-500.0,美商高盛,2287.0,,218.44,20,美商高盛,0,凱基-站前,2485.0,,11.3,-11.12,285,-6,-0.51,1.33,已取得,0.0,1.33,0.0,0.0,0.0,0.0,0.0,12.96,1.33,2026-08,-1.3,51.19,24.38,,,,營收 2026-08，月增 -1.3%，年增 51.19%，累計年增 24.38%,外資買超；融資增加；主力分點連20買；千張大戶增持；營收 2026-08，月增 -1.3%，年增 51.19%，累計年增 24.38%,1.33
2026-09-17,8227,巨有科技,TPEX,半導體業,,20,258.0,50.1,0.66,8.5,65.38,82.55,88.5,-8.19,77.32,6.506,2.0,252,113.22,58.77,74.38,-22.2,-8.19,128.32,50.04,59.61,17.2,-3.5,2026-09-11,21.89,3.67,3.67,32.64,55.97,-8.88,6.0,2026Q2,17.08,7.56,16.72,-1,5.16,50.0,10.3,70.2,-28.6,2.59,,-5.24,-12.5,-9.5,3.0,-6.0,0,1,⚠ 便宜但基本面轉弱：毛利率連 1 季降、月營收年減 14%、PE 50.1（一年 10% 分位）、距 52 週高點 -8%,1.8,59.13,220.7008,16.9,58961.0,3117.0,2948.05,6594.0,1.06,2.24,18.69,放量,3616.58,0.0,3616.58,6.13,0.0,8,0,0,0,360.03,0.0,台灣摩根士丹利,1143.0,,246.73,4,台灣摩根士丹利,0,國泰-敦南,270.0,,15.3,23.17,1927,671,-1.93,26.29,已取得,26.53,52.82,9.2,2.33,3.0,6.0,6.0,5.05,26.29,2026-07,-17.58,-13.54,78.39,6.13,1.94,4.57,外資主導買超；前大買超分點約占成交 1.94%；收盤距區間均價 16.9%；收盤距分點均價 4.57%；連買：外8 / 投0；營收 2026-07，月增 -17.58%，年增 -13.54%，累計年增 78.39%,外資買超；融資增加；放量；RSI過熱；波動偏高；主力分點連4買；千張大戶增持；營收 2026-07，月增 -17.58%，年增 -13.54%，累計年增 78.39%,26.29
2026-09-17,8464,億豐,TWSE,居家生活,,20,372.5,16.27,4.3,3.79,0.27,53.95,28.77,-3.75,3.47,1.168,0.16,252,9.56,-19.28,-29.29,-100.25,-21.66,23.14,0.71,-0.2,-5.56,3.0,2026-09-11,77.98,-0.1,0.09,86.96,4.47,-0.02,-0.53,2026Q2,59.95,27.25,17.54,3,22.9,16.27,33.3,16.56,-1.8,4.75,20.9,-3.84,0.0,0.0,0.0,0.0,,0,日均量 315 張偏低（門檻 500）,6.5,59.81,371.0093,0.4,6296.01,488.46,314.8,358.54,1.55,1.14,11.84,放量,576.94,190.36,767.3,9.16,3.02,8,0,0,2,118.93,-76.0,港商麥格理,473.0,,369.56,1,港商麥格理,0,台灣摩根士丹利,425.0,,16.44,46.64,-22,0,0.35,50.32,已取得,61.3,111.62,18.28,9.02,14.0,6.0,14.0,3.33,50.32,2026-08,-6.27,17.76,5.52,12.19,7.51,0.8,外資與投信同買；前大買超分點約占成交 7.51%；收盤距區間均價 0.4%；收盤距分點均價 0.8%；連買：外8 / 投0；營收 2026-08，月增 -6.27%，年增 17.76%，累計年增 5.52%,外資買超；投信買超；融資下降；放量；年線之下；毛利率連3升；營收 2026-08，月增 -6.27%，年增 17.76%，累計年增 5.52%,50.32
2026-09-17,6526,達發,TWSE,半導體業,,20,629.0,34.89,2.15,5.59,9.97,52.76,45.07,-11.41,11.92,3.321,5.98,252,26.81,14.99,-12.03,-65.97,-20.08,48.88,2.07,15.38,5.24,0.0,2026-09-11,76.25,0.0,0.04,78.71,15.57,-0.05,0.12,2026Q2,51.16,15.0,14.0,-2,18.04,34.87,74.2,29.79,17.1,5.25,13.1,0.21,6.5,7.5,-1.0,0.0,0,1,單季 EPS 年增 13%、毛利率連 2 季降、月營收年增 26%、PE 34.9（一年 74% 分位）、距 52 週高點 -20%,0.6,36.9,642.7453,-2.14,10333.86,443.83,516.69,334.49,0.86,0.65,-7.33,正常,525.77,-266.0,259.77,5.09,-2.57,8,0,0,0,90.25,0.0,摩根大通,220.0,,626.97,0,摩根大通,0,統一,271.0,,11.24,21.75,13,0,-0.1,28.62,已取得,32.33,60.95,3.77,2.55,14.0,6.0,6.0,6.97,28.62,2026-08,2.21,26.11,12.53,2.51,2.13,0.32,外資主導買超；前大買超分點約占成交 2.13%；收盤距區間均價 -2.14%；收盤距分點均價 0.32%；連買：外8 / 投0；營收 2026-08，月增 2.21%，年增 26.11%，累計年增 12.53%,外資買超；融資增加；毛利率連2降；營收 2026-08，月增 2.21%，年增 26.11%，累計年增 12.53%,28.62
2026-09-17,6651,全宇昕,TPEX,半導體業,,20,147.0,16.46,2.72,3.88,2.44,46.15,44.81,-6.96,8.49,0.3,1.46,252,61.72,105.88,22.87,24.92,-17.18,117.46,5.76,39.61,12.74,1.5,2026-09-11,32.47,0.0,-0.08,51.78,27.26,0.3,-0.24,2026Q2,36.49,23.48,,-1,8.94,16.44,67.5,14.83,11.0,2.61,480.0,2.66,0.0,0.0,0.0,0.0,,0,日均量 204 張偏低（門檻 500）,0.3,61.99,147.2114,-0.14,4076.0,140.0,203.8,109.0,0.69,0.53,-11.2,正常,426.59,0.0,426.59,10.47,0.0,8,0,0,0,57.97,0.0,凱基-大安,232.0,,149.95,3,凱基-大安,0,永豐金-亞灣,105.0,,17.94,44.37,315,1,-6.18,51.83,已取得,48.53,100.36,15.7,6.83,14.0,6.0,6.0,13.64,51.83,2026-08,-2.28,62.34,19.46,10.47,5.69,-1.97,外資主導買超；前大買超分點約占成交 5.69%；收盤距區間均價 -0.14%；收盤距分點均價 -1.97%；連買：外8 / 投0；營收 2026-08，月增 -2.28%，年增 62.34%，累計年增 19.46%,外資買超；融資增加；主力分點連3買；營收 2026-08，月增 -2.28%，年增 62.34%，累計年增 19.46%,51.83
2026-09-17,8050,廣積,TPEX,電腦及週邊設備業,,20,58.9,22.48,3.65,1.59,3.51,60.68,28.18,-0.51,8.67,0.516,11.11,252,45.25,14.81,6.41,-66.15,-15.13,50.83,1.74,20.06,9.29,1.5,2026-09-11,36.26,-0.02,-0.06,42.75,48.8,-0.19,-0.34,2026Q2,25.87,8.63,11.34,2,3.66,16.09,10.3,29.08,-22.7,1.62,,5.72,20.0,11.0,9.0,0.0,0,0,毛利率連 2 季升、月營收年增 94%、PE 22.5（一年 10% 分位）、距 52 週高點 -15%,5.4,97.29,56.7466,3.79,18199.0,1907.0,909.95,1176.4,2.1,1.29,20.83,強放量,1781.75,0.0,1781.75,9.79,0.0,7,0,0,0,892.82,0.0,凱基-台北,849.0,,56.95,12,凱基-台北,1,宏遠證券,200.0,,3.45,37.41,-869,-15,4.75,59.92,已取得,46.28,106.2,14.69,5.6,14.0,6.0,6.0,17.76,59.92,2026-08,34.54,94.48,17.62,9.79,4.67,3.42,外資主導買超；前大買超分點約占成交 4.67%；收盤距區間均價 3.79%；收盤距分點均價 3.42%；連買：外7 / 投0；營收 2026-08，月增 34.54%，年增 94.48%，累計年增 17.62%,外資買超；融資下降；強放量；接近區間高點；隔日沖分點買超；毛利率連2升；營收 2026-08，月增 34.54%，年增 94.48%，累計年增 17.62%,59.92
2026-09-17,3014,聯陽,TWSE,半導體業,,20,133.5,13.48,6.37,3.02,2.69,56.25,17.22,-0.74,4.3,0.83,10.61,252,15.09,-1.84,-23.76,-82.8,-21.93,20.81,-1.45,3.75,2.66,4.5,2026-09-11,20.74,0.09,0.23,31.02,55.02,0.16,1.41,2026Q2,57.21,28.24,26.6,0,10.2,13.09,69.8,13.18,2.3,3.03,28.4,2.1,16.0,10.0,6.0,0.0,0,0,單季 EPS 年增 28%、月營收年增 5%、PE 13.5（一年 70% 分位）、距 52 週高點 -22%,4.5,77.42,131.0849,1.84,12667.51,1161.13,633.38,627.08,1.83,0.99,12.84,放量,402.42,323.19,725.61,3.18,2.55,7,0,11,0,351.6,20.85,永豐金-匯立,372.0,,,,,0,港商野村,650.0,,0.96,45.81,-98,-10,0.75,47.32,已取得,46.12,93.44,8.59,3.52,6.0,14.0,14.0,0.76,47.32,2026-08,-1.85,5.33,0.16,5.73,2.94,,外資與投信同買；前大買超分點約占成交 2.94%；收盤距區間均價 1.84%；連買：外7 / 投11；營收 2026-08，月增 -1.85%，年增 5.33%，累計年增 0.16%,外資買超；投信買超；融資下降；放量；接近區間高點；營收 2026-08，月增 -1.85%，年增 5.33%，累計年增 0.16%,47.32
2026-09-17,3317,尼克森,TPEX,半導體業,,20,55.1,27.41,0.91,1.51,-15.88,22.64,49.25,-21.4,3.38,0.404,-7.5,252,16.37,9.33,-22.48,-71.64,-48.98,27.4,-24.4,-7.31,-8.06,0.0,2026-09-11,24.05,-0.09,0.04,32.04,61.21,-0.0,-0.6,2026Q2,28.86,12.57,8.88,-1,1.88,29.31,50.4,27.21,0.7,0.72,20.0,2.37,-0.5,0.5,5.0,-6.0,0,0,⚠ 便宜但基本面轉弱：單季 EPS 年增 20%、毛利率連 1 季降、月營收年減 28%、PE 27.4（一年 50% 分位）、距 52 週高點 -49%,0.3,-11.6,61.8678,-10.94,13051.0,397.0,652.55,361.4,0.61,0.55,-11.84,正常,253.24,0.0,253.24,1.94,0.0,7,0,0,0,9.29,0.0,美林,523.0,,,,,0,摩根大通,205.0,,4.02,18.43,136,15,-0.83,10.18,已取得,19.72,29.9,2.91,4.81,0.0,6.0,6.0,-7.42,10.18,2026-08,-29.63,-27.57,3.38,1.94,4.01,,外資主導買超；前大買超分點約占成交 4.01%；收盤距區間均價 -10.94%；連買：外7 / 投0；營收 2026-08，月增 -29.63%，年增 -27.57%，累計年增 3.38%,外資買超；融資增加；年線之下；營收 2026-08，月增 -29.63%，年增 -27.57%，累計年增 3.38%,10.18
2026-09-17,2395,研華,TWSE,電腦及週邊設備業,工業電腦,20,686.0,43.45,1.63,10.77,5.7,53.65,42.91,-5.64,6.69,20.67,3.42,252,102.36,111.73,63.51,30.76,-5.64,153.14,12.72,66.54,17.2,-3.5,2026-09-11,77.23,-0.23,-0.72,84.89,7.48,0.17,-3.34,2026Q2,37.68,19.63,17.29,-2,15.83,43.34,94.0,29.2,48.8,5.2,126.1,2.12,10.0,13.0,-3.0,0.0,0,1,單季 EPS 年增 126%、毛利率連 2 季降、月營收年增 88%、PE 43.5（一年 94% 分位）、距 52 週高點 -6%,0.6,62.07,679.9408,0.89,60799.82,3120.41,3039.99,3260.32,1.03,1.07,1.48,正常,3803.32,591.72,4395.04,6.26,0.97,6,0,0,3,1288.27,-2.0,元大證券,2566.0,,681.91,0,元大證券,0,新加坡商瑞銀,2113.0,,13.33,29.23,-298,0,0.49,46.95,已取得,49.91,96.86,10.84,5.06,14.0,6.0,14.0,17.23,46.95,2026-08,-7.57,87.52,45.88,7.23,4.22,0.6,外資與投信同買；前大買超分點約占成交 4.22%；收盤距區間均價 0.89%；收盤距分點均價 0.6%；連買：外6 / 投0；營收 2026-08，月增 -7.57%，年增 87.52%，累計年增 45.88%,外資買超；投信買超；融資下降；毛利率連2降；營收 2026-08，月增 -7.57%，年增 87.52%，累計年增 45.88%,46.95
2026-09-17,2615,萬海,TWSE,航運業,貨櫃航運,20,120.5,8.28,2.49,1.17,-3.21,63.24,50.66,-10.41,13.15,42.125,2.07,252,61.74,47.85,22.9,-33.11,-10.41,65.07,26.47,45.63,12.75,5.0,2026-09-11,86.4,-0.74,1.52,89.27,8.43,0.42,-2.5,2026Q2,30.37,25.95,26.89,1,14.55,8.28,98.0,6.67,24.1,4.11,953.8,1.09,19.5,14.0,5.5,0.0,0,0,單季 EPS 年增 954%、毛利率連 1 季升、月營收年增 66%、PE 8.3（一年 98% 分位）、距 52 週高點 -10%,5.7,63.48,118.5897,1.61,710429.84,18631.52,35521.49,18669.67,0.52,0.53,-12.0,量縮,39413.7,825.63,40239.33,5.55,0.12,5,0,0,0,4971.22,0.0,美林,14975.0,,116.8,0,美林,0,美商高盛,20073.0,,11.12,31.92,-2011,276,0.31,46.46,已取得,45.03,91.49,8.5,2.53,14.0,6.0,14.0,14.23,46.46,2026-08,3.01,65.59,19.18,5.66,2.11,3.17,外資與投信同買；前大買超分點約占成交 2.11%；收盤距區間均價 1.61%；收盤距分點均價 3.17%；連買：外5 / 投0；營收 2026-08，月增 3.01%，年增 65.59%，累計年增 19.18%,外資買超；投信買超；融資下降；千張大戶減持；營收 2026-08，月增 3.01%，年增 65.59%，累計年增 19.18%,46.46
2026-09-17,2377,微星,TWSE,電腦及週邊設備業,AI伺服器/組裝,20,153.0,13.27,2.75,2.23,8.13,56.9,49.79,-6.71,9.29,14.505,8.88,252,68.69,24.9,29.84,-56.07,-11.82,80.0,3.46,32.28,13.58,1.5,2026-09-11,60.84,0.07,-2.79,67.62,27.05,-0.41,-0.44,2026Q2,15.97,6.57,6.01,2,11.53,13.27,14.7,15.99,-17.0,3.55,123.3,3.2,20.0,12.0,8.0,0.0,0,0,單季 EPS 年增 123%、毛利率連 2 季升、月營收年減 6%、PE 13.3（一年 15% 分位）、距 52 週高點 -12%,3.9,69.7,152.0593,0.62,190776.7,6751.25,9538.83,6479.93,0.71,0.68,-8.64,正常,24332.48,2429.9,26762.38,12.75,1.27,5,0,0,1,1766.45,-174.0,新加坡商瑞銀,4414.0,,150.42,0,新加坡商瑞銀,0,國泰證券,1926.0,,12.27,47.91,-3465,57,1.83,46.6,已取得,57.82,104.42,21.04,2.78,14.0,6.0,14.0,-3.14,46.6,2026-08,-8.52,-6.06,-6.42,14.03,2.31,1.72,外資與投信同買；前大買超分點約占成交 2.31%；收盤距區間均價 0.62%；收盤距分點均價 1.72%；連買：外5 / 投0；營收 2026-08，月增 -8.52%，年增 -6.06%，累計年增 -6.42%,外資買超；投信買超；融資下降；毛利率連2升；營收 2026-08，月增 -8.52%，年增 -6.06%，累計年增 -6.42%,46.6
2026-09-17,2371,大同,TWSE,電機機械,,20,29.7,,0.0,1.26,7.61,59.84,35.08,-0.67,9.59,2.737,13.57,252,-3.26,-23.55,-42.1,-104.52,-33.26,27.47,10.04,-6.45,-10.93,2.0,2026-09-11,43.02,0.22,0.11,47.78,43.15,-0.2,2.59,2026Q2,17.37,5.25,15.48,3,-4.65,,51.2,7.09,0.6,0.96,336.4,-0.89,0.0,0.0,0.0,0.0,,0,近四季 EPS 未轉正或缺財報,3.0,66.51,28.4873,4.26,192186.77,31989.22,9609.34,11634.68,3.33,1.21,24.37,強放量,23142.42,567.0,23709.42,12.04,0.3,5,0,1,0,13811.0,22.0,台灣摩根士丹利,5929.0,,28.68,3,台灣摩根士丹利,0,花旗環球,2217.0,,15.53,43.11,-1319,524,0.85,44.09,已取得,57.81,101.9,18.5,3.7,14.0,7.6,14.0,0.13,44.09,2026-08,19.17,-11.49,-0.64,12.34,3.09,3.56,外資與投信同買；前大買超分點約占成交 3.09%；收盤距區間均價 4.26%；收盤距分點均價 3.56%；連買：外5 / 投1；營收 2026-08，月增 19.17%，年增 -11.49%，累計年增 -0.64%,外資買超；投信買超；融資下降；強放量；接近區間高點；年線之下；主力分點連3買；毛利率連3升；營收 2026-08，月增 19.17%，年增 -11.49%，累計年增 -0.64%,44.09
2026-09-17,2891,中信金,TWSE,金融保險業,金控,20,71.2,17.03,3.51,2.03,9.54,77.42,22.73,-0.7,13.02,22.863,6.72,252,34.34,63.12,-4.51,-17.85,-3.26,70.95,7.3,29.68,6.89,3.0,2026-09-11,79.02,-0.05,0.04,81.86,13.83,0.01,-0.28,2026Q1,,,38.6,0,4.24,16.79,96.8,13.7,24.3,1.18,15.7,,3.0,2.0,1.0,0.0,0,1,單季 EPS 年增 16%、月營收年減 3%、PE 17.0（一年 97% 分位）、距 52 週高點 -3%,4.5,88.47,66.8836,6.45,683650.81,43768.97,34182.54,40852.95,1.28,1.2,9.49,正常,19546.53,55190.53,74737.06,2.86,8.07,5,0,15,0,3567.13,3698.0,永豐金-匯立,24289.0,,65.85,8,永豐金-匯立,0,摩根大通,21079.0,,6.72,57.15,-1349,-55,0.19,62.89,已取得,48.66,111.55,16.4,4.26,0.0,14.0,14.0,5.55,62.89,2026-08,35.22,-2.51,11.08,10.93,3.55,8.12,外資與投信同買；前大買超分點約占成交 3.55%；收盤距區間均價 6.45%；收盤距分點均價 8.12%；連買：外5 / 投15；營收 2026-08，月增 35.22%，年增 -2.51%，累計年增 11.08%,外資買超；投信買超；融資下降；接近區間高點；RSI過熱；主力分點連8買；營收 2026-08，月增 35.22%，年增 -2.51%，累計年增 11.08%,62.89
