latest_date,stock_id,name,market,industry,sub_industry,observed_days,close,pe_ratio,dividend_yield,pb_ratio,period_return_pct,rsi14,volatility_pct,close_vs_high_pct,close_vs_low_pct,avg_turnover_100m,momentum_score,history_days,return_6m_pct,return_12m_pct,rs_6m_pct,rs_12m_pct,close_vs_52w_high_pct,close_vs_52w_low_pct,close_vs_ma60_pct,close_vs_ma240_pct,long_momentum_score,valuation_score,disp_date,big_holder_pct,big_holder_change_1w,big_holder_change_4w,holder_400_pct,retail_pct,retail_change_1w,dispersion_score,fin_quarter,gross_margin_pct,operating_margin_pct,net_margin_pct,gross_margin_streak,eps_ttm,pe_ttm,pe_percentile,pe_median_1y,eps_single_q,eps_yoy_pct,operating_margin_yoy_pt,mispriced_score,mispriced_earnings_score,mispriced_cheap_score,mispriced_trap_penalty,mispriced_reason,fundamental_score,multifactor_score,20d_avg_price,close_vs_avg_pct,20d_volume_lot,latest_volume_lot,volume_avg_lot,volume_5d_avg_lot,volume_ratio_1d,volume_ratio_5d,volume_score,volume_signal,20d_foreign_net_lot,20d_trust_net_lot,20d_inst_net_lot,foreign_net_volume_pct,trust_net_volume_pct,foreign_buy_streak,foreign_sell_streak,trust_buy_streak,trust_sell_streak,latest_foreign_net_lot,latest_trust_net_lot,top_buy_branch_name,top_buy_branch_net_lot,top_buy_branch_avg_price,top_buy_branch_est_cost,branch_buy_streak,branch_streak_broker,top_buy_is_day_trader,top_sell_branch_name,top_sell_branch_net_lot,top_sell_branch_avg_price,branch_score,chip_score,margin_balance_change_lot,short_balance_change_lot,margin_score,base_score,branch_status,confluence_score,complete_chip_score,confluence_inst_score,confluence_branch_score,confluence_price_score,confluence_streak_score,confluence_direction_score,revenue_momentum_score,selection_score,revenue_month,revenue_mom_pct,revenue_yoy_pct,revenue_cumulative_yoy_pct,inst_net_volume_pct,top_buy_branch_volume_pct,close_vs_top_buy_avg_pct,selection_reason,base_reason,total_score
2026-07-29,2892,第一金,TWSE,金融保險業,金控,20,34.8,17.85,3.74,1.68,4.82,59.46,22.77,-0.85,8.75,13.769,11.89,252,19.18,17.57,-6.1,-52.5,-0.85,27.94,11.72,17.93,11.19,3.0,2026-07-24,67.65,0.19,0.59,71.56,20.14,-0.12,3.52,2026Q1,,,42.72,0,1.93,18.03,98.8,15.9,0.57,11.8,,6.0,5.0,1.0,0.0,單季 EPS 年增 12%、月營收年增 5%、PE 17.9（一年 99% 分位）、距 52 週高點 -1%,4.5,62.98,33.669,3.36,817913.9,49837.21,40895.69,39491.26,1.22,0.97,5.07,正常,-91738.35,187601.81,95863.45,-11.22,22.94,0,2,10,0,-5851.61,1760.94,,,,,,,0,,,,0.0,22.88,-5650,-2,0.69,26.34,未取得,0.0,26.34,0.0,0.0,0.0,0.0,0.0,2.77,26.34,2026-06,-1.02,4.9,12.55,,,,營收 2026-06，月增 -1.02%，年增 4.9%，累計年增 12.55%,投信買超；融資下降；接近區間高點；逼近52週高點；營收 2026-06，月增 -1.02%，年增 4.9%，累計年增 12.55%,26.34
2026-07-29,2887,台新新光金,TWSE,金融保險業,金控,20,32.6,15.98,3.37,1.43,-2.25,30.3,33.75,-13.64,1.09,27.13,-1.35,252,47.18,99.39,21.91,29.32,-13.64,106.98,9.94,43.0,11.35,5.0,2026-07-24,70.68,-0.1,0.47,74.78,17.72,0.06,0.61,2026Q1,,,43.96,0,2.4,13.58,44.4,16.51,0.82,148.5,,15.5,13.0,2.5,0.0,單季 EPS 年增 148%、月營收年增 198%、PE 16.0（一年 44% 分位）、距 52 週高點 -14%,4.5,66.73,34.8487,-6.45,1557024.1,97375.42,77851.2,60166.24,1.25,0.77,2.37,正常,-102743.55,185073.09,82329.54,-6.6,11.89,0,2,3,0,-4816.55,2420.35,元大證券,66452.0,,34.97,0,元大證券,0,台灣摩根士丹利,106976.0,,5.69,22.53,-2919,-881,0.17,45.44,已取得,25.85,71.29,7.93,5.12,0.0,4.8,8.0,22.74,45.44,2026-06,19.49,198.41,117.55,5.29,4.27,,投信主導買超；前大買超分點約占成交 4.27%；收盤距區間均價 -6.45%；連買：外0 / 投3；營收 2026-06，月增 19.49%，年增 198.41%，累計年增 117.55%,投信買超；融資下降；營收 2026-06，月增 19.49%，年增 198.41%，累計年增 117.55%,45.44
2026-07-29,2886,兆豐金,TWSE,金融保險業,金控,20,49.9,20.28,3.51,1.84,8.13,75.0,17.37,-1.19,11.51,16.98,5.88,252,25.69,17.14,0.42,-52.94,-1.19,31.84,14.01,20.87,12.62,1.5,2026-07-24,81.78,0.18,0.3,83.25,13.76,-0.11,2.84,2026Q1,,,45.25,0,2.45,20.37,96.8,17.93,0.63,16.7,,3.0,2.0,1.0,0.0,單季 EPS 年增 17%、月營收年減 1%、PE 20.3（一年 97% 分位）、距 52 週高點 -1%,4.5,47.82,47.365,5.35,717004.7,45186.17,35850.23,32195.05,1.26,0.9,4.49,正常,-100496.59,175915.27,75418.68,-14.02,24.53,0,8,9,0,-3373.8,5321.87,,,,,,,0,,,,0.0,15.91,-537,44,0.08,18.24,未取得,0.0,18.24,0.0,0.0,0.0,0.0,0.0,2.25,18.24,2026-06,-3.31,-0.52,17.14,,,,營收 2026-06，月增 -3.31%，年增 -0.52%，累計年增 17.14%,投信買超；融資下降；接近區間高點；逼近52週高點；RSI過熱；營收 2026-06，月增 -3.31%，年增 -0.52%，累計年增 17.14%,18.24
2026-07-29,1303,南亞,TWSE,塑膠工業,,20,141.5,61.26,0.57,2.92,-22.68,38.46,117.68,-38.48,0.0,178.695,-12.0,252,83.53,245.54,58.25,175.47,-38.48,417.37,4.84,79.12,12.99,-2.0,2026-07-24,83.97,-0.38,-0.29,86.46,10.36,0.39,-3.91,2026Q1,11.93,5.45,20.78,2,2.31,61.26,26.3,91.41,1.8,2900.0,5.4,22.5,19.0,3.5,0.0,單季 EPS 年增 2900%、毛利率連 2 季升、月營收年增 32%、PE 61.3（一年 26% 分位）、距 52 週高點 -38%,6.9,19.44,193.3331,-26.81,1848570.79,106771.45,92428.54,83536.28,1.16,0.9,0.32,正常,-174884.94,169011.87,-5873.07,-9.46,9.14,4,0,0,1,25498.26,-19728.1,,,,,,,0,,,,0.0,9.18,-10742,-1930,0.55,17.3,未取得,0.0,17.3,0.0,0.0,0.0,0.0,0.0,7.57,17.3,2026-06,-5.88,31.79,15.98,,,,營收 2026-06，月增 -5.88%，年增 31.79%，累計年增 15.98%,投信買超；融資下降；波動偏高；毛利率連2升；千張大戶減持；營收 2026-06，月增 -5.88%，年增 31.79%，累計年增 15.98%,17.3
2026-07-29,2801,彰銀,TWSE,金融保險業,,20,24.45,15.28,4.29,1.27,2.52,59.32,17.61,-1.61,5.84,7.597,10.51,252,20.74,32.16,-4.53,-37.91,-1.61,32.88,9.6,17.51,11.53,5.0,2026-07-24,73.96,0.18,0.4,77.63,14.69,-0.09,3.14,2026Q1,,,,0,1.58,15.47,98.4,13.65,0.44,18.9,,7.5,5.0,2.5,0.0,單季 EPS 年增 19%、月營收年增 10%、PE 15.3（一年 98% 分位）、距 52 週高點 -2%,1.5,62.55,24.0202,1.79,632578.48,41420.96,31628.92,33566.0,1.31,1.06,7.69,正常,-127557.39,142558.43,15001.03,-20.16,22.54,0,2,9,0,-11111.59,685.0,,,,,,,0,,,,0.0,21.4,-3385,-43,0.53,27.03,未取得,0.0,27.03,0.0,0.0,0.0,0.0,0.0,5.1,27.03,2026-06,8.71,9.51,14.62,,,,營收 2026-06，月增 8.71%，年增 9.51%，累計年增 14.62%,投信買超；融資下降；接近區間高點；逼近52週高點；營收 2026-06，月增 8.71%，年增 9.51%，累計年增 14.62%,27.03
2026-07-29,2890,永豐金,TWSE,金融保險業,金控,20,38.6,18.47,3.37,2.11,-3.5,30.36,32.82,-8.75,2.66,18.28,-2.1,252,33.1,55.96,7.83,-14.11,-8.75,66.74,9.21,28.86,8.25,1.5,2026-07-24,77.54,-0.03,0.05,80.75,14.3,0.05,-0.09,2026Q1,,,41.88,0,2.16,17.87,89.7,15.62,0.76,33.3,,12.0,11.0,1.0,0.0,單季 EPS 年增 33%、月營收年增 51%、PE 18.5（一年 90% 分位）、距 52 週高點 -9%,4.5,69.71,39.7965,-3.01,918657.76,39245.88,45932.89,44437.56,0.85,0.97,-2.27,正常,-44650.15,141380.89,96730.74,-4.86,15.39,1,0,9,0,2923.2,2142.99,兆豐證券,62876.0,,39.85,1,兆豐證券,0,台灣摩根士丹利,58395.0,,9.83,41.2,595,-343,-0.06,58.79,已取得,41.21,100.0,15.79,8.21,0.0,9.2,8.0,17.65,58.79,2026-06,-2.95,50.94,55.23,10.53,6.84,,投信主導買超；前大買超分點約占成交 6.84%；收盤距區間均價 -3.01%；連買：外1 / 投9；營收 2026-06，月增 -2.95%，年增 50.94%，累計年增 55.23%,投信買超；融資增加；營收 2026-06，月增 -2.95%，年增 50.94%，累計年增 55.23%,58.79
2026-07-29,2880,華南金,TWSE,金融保險業,金控,20,41.8,20.19,3.47,2.39,13.9,66.94,21.45,-1.65,15.79,9.388,17.34,252,26.67,45.64,1.39,-24.43,-1.65,52.0,15.96,28.38,12.83,1.5,2026-07-24,79.28,0.23,0.48,81.71,13.09,-0.17,3.78,2026Q1,,,40.92,0,2.06,20.29,97.6,17.41,0.55,41.0,,12.0,11.0,1.0,0.0,單季 EPS 年增 41%、月營收年增 22%、PE 20.2（一年 98% 分位）、距 52 週高點 -2%,4.5,69.43,39.8063,5.01,471684.19,34810.99,23584.21,27194.05,1.48,1.15,11.16,正常,-53019.89,65139.45,12119.57,-11.24,13.81,0,2,9,0,-2227.87,3181.68,,,,,,,0,,,,0.0,15.56,285,13,-0.05,23.9,未取得,0.0,23.9,0.0,0.0,0.0,0.0,0.0,8.39,23.9,2026-06,3.09,21.56,25.84,,,,營收 2026-06，月增 3.09%，年增 21.56%，累計年增 25.84%,投信買超；融資增加；接近區間高點；逼近52週高點；營收 2026-06，月增 3.09%，年增 21.56%，累計年增 25.84%,23.9
2026-07-29,3702,大聯大,TWSE,電子通路業,,20,106.0,12.94,3.58,1.98,-3.64,50.43,61.52,-13.82,3.41,15.737,-2.18,252,66.93,59.4,41.66,-10.67,-16.86,87.28,-5.41,31.54,15.0,3.0,2026-07-24,79.34,0.31,0.12,84.53,10.82,-0.31,3.34,2026Q1,4.49,2.68,1.75,6,7.94,13.35,28.6,13.61,3.3,192.0,0.96,24.5,18.5,8.0,-2.0,單季 EPS 年增 192%、毛利率連 6 季升、月營收年增 132%、PE 12.9（一年 29% 分位）、距 52 週高點 -17%,5.0,49.38,112.6549,-5.91,279390.74,8994.11,13969.54,10936.04,0.64,0.78,-7.75,正常,-68511.42,53264.88,-15246.54,-24.52,19.06,0,4,9,0,-1041.78,243.5,,,,,,,0,,,,0.0,5.13,-354,-1535,-0.04,29.09,未取得,0.0,29.09,0.0,0.0,0.0,0.0,0.0,24,29.09,2026-06,39.77,131.85,55.18,,,,營收 2026-06，月增 39.77%，年增 131.85%，累計年增 55.18%,投信買超；融資下降；毛利率連6升；千張大戶增持；營收 2026-06，月增 39.77%，年增 131.85%，累計年增 55.18%,29.09
2026-07-29,2542,興富發,TWSE,建材營造業,,20,43.25,13.31,9.25,1.66,2.13,47.37,22.01,-3.89,2.73,3.927,1.28,252,13.67,5.62,-11.61,-64.46,-8.76,28.34,0.14,7.89,3.97,4.5,2026-07-24,60.4,0.97,1.34,64.01,28.5,-0.69,6.0,2026Q1,30.11,24.17,14.95,-1,3.25,13.31,9.5,14.58,1.15,,29.72,16.5,4.5,12.0,0.0,毛利率連 1 季降、月營收年增 16%、PE 13.3（一年 10% 分位）、距 52 週高點 -9%,1.8,62.97,43.5802,-0.76,180205.17,7736.87,9010.26,7911.24,0.86,0.88,-3.65,正常,-32864.66,44151.6,11286.94,-18.24,24.5,2,0,20,0,1472.89,174.0,兆豐證券,16680.0,,42.78,0,兆豐證券,0,美林,9116.0,,18.58,32.51,-1899,50,1.05,47.25,已取得,44.9,92.15,9.4,11.11,6.0,10.4,8.0,13.69,47.25,2026-06,9.37,16.47,461.12,6.26,9.26,,投信主導買超；前大買超分點約占成交 9.26%；收盤距區間均價 -0.76%；連買：外2 / 投20；營收 2026-06，月增 9.37%，年增 16.47%，累計年增 461.12%,投信買超；融資下降；千張大戶增持；營收 2026-06，月增 9.37%，年增 16.47%，累計年增 461.12%,47.25
2026-07-29,2027,大成鋼,TWSE,鋼鐵工業,,20,43.25,12.65,3.47,1.28,4.22,59.85,42.98,-4.95,13.22,7.763,6.53,252,19.15,10.05,-6.13,-60.02,-4.95,28.34,4.57,12.1,5.18,5.0,2026-07-24,71.38,1.21,1.63,75.45,18.77,-0.94,6.0,2026Q1,27.32,18.07,9.35,1,3.38,12.8,16.3,14.24,1.17,74.6,6.26,28.0,17.5,10.5,0.0,單季 EPS 年增 75%、毛利率連 1 季升、月營收年增 44%、PE 12.7（一年 16% 分位）、距 52 週高點 -5%,2.7,96.42,41.8358,3.38,371125.62,25417.2,18556.28,20531.53,1.37,1.11,9.14,正常,18523.71,39108.53,57632.24,4.99,10.54,1,0,1,0,3551.34,6250.0,兆豐證券,28423.0,,41.19,0,兆豐證券,0,摩根大通,3164.0,,8.76,51.48,-7424,-7,2.0,66.44,已取得,54.49,120.93,22.5,9.19,6.0,2.8,14.0,12.96,66.44,2026-06,2.07,43.73,30.28,15.53,7.66,,外資與投信同買；前大買超分點約占成交 7.66%；收盤距區間均價 3.38%；連買：外1 / 投1；營收 2026-06，月增 2.07%，年增 43.73%，累計年增 30.28%,外資買超；投信買超；融資下降；千張大戶增持；營收 2026-06，月增 2.07%，年增 43.73%，累計年增 30.28%,66.44
2026-07-29,1216,統一,TWSE,食品工業,,20,78.2,21.14,3.84,3.07,4.97,47.37,18.31,-3.1,5.96,15.856,2.98,252,6.25,-1.26,-19.02,-71.33,-10.32,14.16,4.23,3.78,2.34,1.5,2026-07-24,86.23,0.22,0.78,89.75,7.85,-0.14,3.76,2026Q1,33.78,5.86,3.74,1,3.69,21.19,40.5,21.51,1.15,26.4,-0.05,9.5,8.5,1.0,0.0,單季 EPS 年增 26%、毛利率連 1 季升、月營收年增 5%、PE 21.1（一年 40% 分位）、距 52 週高點 -10%,2.7,67.68,78.0505,0.19,406300.03,23042.47,20315.0,17910.5,1.13,0.88,-0.28,正常,-479.11,38235.22,37756.11,-0.12,9.41,2,0,20,0,537.67,1890.91,元大證券,22742.0,,78.62,0,元大證券,0,凱基,36264.0,,12.25,53.22,-575,-5,0.14,54.54,已取得,45.06,99.6,13.94,6.72,6.0,10.4,8.0,1.18,54.54,2026-06,-1.49,4.6,3.29,9.29,5.6,,投信主導買超；前大買超分點約占成交 5.6%；收盤距區間均價 0.19%；連買：外2 / 投20；營收 2026-06，月增 -1.49%，年增 4.6%，累計年增 3.29%,投信買超；融資下降；營收 2026-06，月增 -1.49%，年增 4.6%，累計年增 3.29%,54.54
2026-07-29,3706,神達,TWSE,電腦及週邊設備業,,20,85.3,16.28,4.69,1.7,-6.57,41.99,29.51,-9.45,2.16,16.584,-3.94,252,2.4,11.36,-22.87,-58.71,-21.74,26.93,-2.74,-1.38,-5.5,3.0,2026-07-24,50.78,1.08,1.92,54.09,40.63,-0.98,6.0,2026Q1,9.21,3.72,4.59,-2,5.14,16.6,17.1,18.56,1.1,-0.9,-1.52,5.0,-4.0,9.0,0.0,毛利率連 2 季降、月營收年增 81%、PE 16.3（一年 17% 分位）、距 52 週高點 -22%,-0.9,50.11,90.6376,-5.89,365943.89,17394.92,18297.19,12740.97,0.95,0.7,-5.45,正常,-22663.35,37618.0,14954.65,-6.19,10.28,1,0,9,0,832.19,46.0,凱基,10584.0,,90.01,0,凱基,0,摩根大通,7201.0,,6.49,33.38,-3724,0,1.02,54.17,已取得,26.8,80.97,6.13,3.47,0.0,9.2,8.0,19.77,54.17,2026-06,14.99,80.93,44.8,4.09,2.89,,投信主導買超；前大買超分點約占成交 2.89%；收盤距區間均價 -5.89%；連買：外1 / 投9；營收 2026-06，月增 14.99%，年增 80.93%，累計年增 44.8%,投信買超；融資下降；年線之下；毛利率連2降；千張大戶增持；營收 2026-06，月增 14.99%，年增 80.93%，累計年增 44.8%,54.17
2026-07-29,1402,遠東新,TWSE,紡織纖維,,20,27.25,16.93,4.59,0.62,-3.71,42.68,26.59,-8.86,5.83,6.226,-2.23,252,-3.02,-5.05,-28.3,-75.12,-13.9,16.95,0.0,-1.05,-6.7,5.0,2026-07-24,86.63,0.14,0.24,88.59,8.33,-0.08,2.34,2026Q1,21.9,7.99,5.05,1,1.7,16.03,16.7,17.75,0.61,32.6,-1.85,19.0,10.5,8.5,0.0,單季 EPS 年增 33%、毛利率連 1 季升、月營收年增 12%、PE 16.9（一年 17% 分位）、距 52 週高點 -14%,2.7,78.98,27.5657,-1.15,451710.72,16977.6,22585.54,17914.98,0.75,0.79,-6.29,正常,60841.95,35921.23,96763.18,13.47,7.95,12,0,4,0,2860.47,30.25,元大證券,25364.0,,27.78,20,元大證券,0,合庫證券,22752.0,,18.22,77.88,-1710,-113,0.37,81.02,已取得,61.64,142.66,22.5,6.74,6.0,12.4,14.0,2.77,81.02,2026-06,-2.15,12.06,5.35,21.42,5.62,,外資與投信同買；前大買超分點約占成交 5.62%；收盤距區間均價 -1.15%；連買：外12 / 投4；營收 2026-06，月增 -2.15%，年增 12.06%，累計年增 5.35%,外資買超；投信買超；融資下降；年線之下；主力分點連20買；營收 2026-06，月增 -2.15%，年增 12.06%，累計年增 5.35%,81.02
2026-07-29,2352,佳世達,TWSE,電腦及週邊設備業,,20,26.95,43.47,3.71,1.45,-16.69,15.67,54.28,-25.76,3.45,6.607,-7.5,246,-4.43,0.94,-29.71,-69.14,-25.76,19.51,-9.15,-2.65,-7.01,1.5,2026-07-24,43.8,-0.18,0.02,48.71,42.13,-0.06,-1.38,2026Q1,16.67,1.34,0.62,-1,0.59,45.68,80.9,32.36,0.2,-20.0,-0.67,-12.5,-9.5,3.0,-6.0,⚠ 便宜但基本面轉弱：毛利率連 1 季降、月營收年減 1%、PE 43.5（一年 81% 分位）、距 52 週高點 -26%,0.3,-24.67,32.8192,-17.88,402604.42,7807.7,20130.22,8303.94,0.39,0.41,-12.0,量縮,-52645.2,33941.0,-18704.2,-13.08,8.43,0,4,2,0,-183.81,20.0,,,,,,,0,,,,0.0,-5.64,-469,-1457,0.01,-4.58,未取得,0.0,-4.58,0.0,0.0,0.0,0.0,0.0,1.05,-4.58,2026-06,8.27,-0.61,1.03,,,,營收 2026-06，月增 8.27%，年增 -0.61%，累計年增 1.03%,投信買超；融資下降；年線之下；營收 2026-06，月增 8.27%，年增 -0.61%，累計年增 1.03%,-4.58
2026-07-29,3231,緯創,TWSE,電腦及週邊設備業,AI伺服器/組裝,20,169.5,17.0,3.24,2.83,6.27,67.69,59.23,-7.88,21.94,107.575,7.76,252,24.18,37.8,-1.1,-32.27,-15.67,55.5,9.62,21.58,6.29,3.0,2026-07-24,60.75,3.79,1.92,64.63,30.21,-3.24,6.0,2026Q1,5.21,3.44,1.14,-2,10.25,16.54,44.0,17.22,3.06,65.4,-0.93,13.0,10.0,3.0,0.0,單季 EPS 年增 65%、毛利率連 2 季降、月營收年增 54%、PE 17.0（一年 44% 分位）、距 52 週高點 -16%,-0.9,113.5,164.5618,3.0,1307406.34,155521.28,65370.32,149147.76,2.38,2.28,30.0,強放量,121662.01,28733.21,150395.21,9.31,2.2,8,0,5,0,4022.65,1253.88,台灣摩根士丹利,42010.0,,163.66,1,台灣摩根士丹利,0,台新,13028.0,,14.16,55.81,1457,677,-0.06,76.35,已取得,55.11,131.46,17.25,3.86,6.0,14.0,14.0,20.6,76.35,2026-06,10.9,53.85,94.01,11.5,3.21,,外資與投信同買；前大買超分點約占成交 3.21%；收盤距區間均價 3.0%；連買：外8 / 投5；營收 2026-06，月增 10.9%，年增 53.85%，累計年增 94.01%,外資買超；投信買超；融資增加；強放量；毛利率連2降；千張大戶增持；營收 2026-06，月增 10.9%，年增 53.85%，累計年增 94.01%,76.35
